Date,MXIM
1991-07-23,1.1015629999999998
1991-07-24,1.1015629999999998
1991-07-25,1.1015629999999998
1991-07-26,1.0859379999999998
1991-07-29,1.09375
1991-07-30,1.1171879999999998
1991-07-31,1.1171879999999998
1991-08-01,1.15625
1991-08-02,1.1484379999999998
1991-08-05,1.21875
1991-08-06,1.265625
1991-08-07,1.2109379999999998
1991-08-08,1.1875
1991-08-09,1.15625
1991-08-12,1.1171879999999998
1991-08-13,1.109375
1991-08-14,1.140625
1991-08-15,1.1484379999999998
1991-08-16,1.171875
1991-08-19,1.1328129999999998
1991-08-20,1.109375
1991-08-21,1.140625
1991-08-22,1.1640629999999998
1991-08-23,1.1796879999999998
1991-08-26,1.1796879999999998
1991-08-27,1.171875
1991-08-28,1.1875
1991-08-29,1.140625
1991-08-30,1.125
1991-09-03,1.125
1991-09-04,1.1171879999999998
1991-09-05,1.078125
1991-09-06,1.078125
1991-09-09,1.078125
1991-09-10,1.078125
1991-09-11,1.03125
1991-09-12,1.046875
1991-09-13,1.0703129999999998
1991-09-16,1.078125
1991-09-17,1.140625
1991-09-18,1.140625
1991-09-19,1.1328129999999998
1991-09-20,1.1875
1991-09-23,1.2109379999999998
1991-09-24,1.1796879999999998
1991-09-25,1.1328129999999998
1991-09-26,1.1328129999999998
1991-09-27,1.15625
1991-09-30,1.1875
1991-10-01,1.140625
1991-10-02,1.1015629999999998
1991-10-03,1.109375
1991-10-04,1.109375
1991-10-07,1.109375
1991-10-08,1.1015629999999998
1991-10-09,1.0546879999999998
1991-10-10,1.125
1991-10-11,1.1328129999999998
1991-10-14,1.1640629999999998
1991-10-15,1.203125
1991-10-16,1.2109379999999998
1991-10-17,1.25
1991-10-18,1.265625
1991-10-21,1.34375
1991-10-22,1.375
1991-10-23,1.375
1991-10-24,1.3515629999999998
1991-10-25,1.3359379999999998
1991-10-28,1.375
1991-10-29,1.4296879999999998
1991-10-30,1.421875
1991-10-31,1.3515629999999998
1991-11-01,1.3515629999999998
1991-11-04,1.359375
1991-11-05,1.375
1991-11-06,1.3515629999999998
1991-11-07,1.359375
1991-11-08,1.359375
1991-11-11,1.3359379999999998
1991-11-12,1.3359379999999998
1991-11-13,1.3203129999999998
1991-11-14,1.2890629999999998
1991-11-15,1.1640629999999998
1991-11-18,1.1875
1991-11-19,1.1015629999999998
1991-11-20,1.1015629999999998
1991-11-21,1.1796879999999998
1991-11-22,1.15625
1991-11-25,1.1484379999999998
1991-11-26,1.140625
1991-11-27,1.125
1991-11-29,1.1328129999999998
1991-12-02,1.1328129999999998
1991-12-03,1.25
1991-12-04,1.2421879999999998
1991-12-05,1.234375
1991-12-06,1.25
1991-12-09,1.234375
1991-12-10,1.2578129999999998
1991-12-11,1.234375
1991-12-12,1.2578129999999998
1991-12-13,1.25
1991-12-16,1.265625
1991-12-17,1.265625
1991-12-18,1.2578129999999998
1991-12-19,1.2578129999999998
1991-12-20,1.2265629999999998
1991-12-23,1.2421879999999998
1991-12-24,1.265625
1991-12-26,1.28125
1991-12-27,1.2734379999999998
1991-12-30,1.2890629999999998
1991-12-31,1.3046879999999998
1992-01-02,1.2734379999999998
1992-01-03,1.3359379999999998
1992-01-06,1.359375
1992-01-07,1.4140629999999998
1992-01-08,1.5
1992-01-09,1.515625
1992-01-10,1.5234379999999998
1992-01-13,1.5546879999999998
1992-01-14,1.6015629999999998
1992-01-15,1.734375
1992-01-16,1.71875
1992-01-17,1.734375
1992-01-20,1.65625
1992-01-21,1.609375
1992-01-22,1.609375
1992-01-23,1.671875
1992-01-24,1.75
1992-01-27,1.734375
1992-01-28,1.695313
1992-01-29,1.6875
1992-01-30,1.6875
1992-01-31,1.71875
1992-02-03,1.710938
1992-02-04,1.742188
1992-02-05,1.71875
1992-02-06,1.71875
1992-02-07,1.71875
1992-02-10,1.695313
1992-02-11,1.734375
1992-02-12,1.71875
1992-02-13,1.734375
1992-02-14,1.734375
1992-02-18,1.710938
1992-02-19,1.664063
1992-02-20,1.664063
1992-02-21,1.726563
1992-02-24,1.726563
1992-02-25,1.71875
1992-02-26,1.734375
1992-02-27,1.71875
1992-02-28,1.789063
1992-03-02,1.789063
1992-03-03,1.765625
1992-03-04,1.75
1992-03-05,1.710938
1992-03-06,1.625
1992-03-09,1.5859379999999998
1992-03-10,1.648438
1992-03-11,1.671875
1992-03-12,1.664063
1992-03-13,1.679688
1992-03-16,1.679688
1992-03-17,1.671875
1992-03-18,1.671875
1992-03-19,1.65625
1992-03-20,1.648438
1992-03-23,1.648438
1992-03-24,1.5859379999999998
1992-03-25,1.5703129999999998
1992-03-26,1.4765629999999998
1992-03-27,1.375
1992-03-30,1.359375
1992-03-31,1.375
1992-04-01,1.359375
1992-04-02,1.46875
1992-04-03,1.4375
1992-04-06,1.4921879999999998
1992-04-07,1.40625
1992-04-08,1.4296879999999998
1992-04-09,1.453125
1992-04-10,1.4609379999999998
1992-04-13,1.484375
1992-04-14,1.4609379999999998
1992-04-15,1.484375
1992-04-16,1.4609379999999998
1992-04-20,1.4453129999999998
1992-04-21,1.421875
1992-04-22,1.4296879999999998
1992-04-23,1.4609379999999998
1992-04-24,1.5234379999999998
1992-04-27,1.4765629999999998
1992-04-28,1.5
1992-04-29,1.5625
1992-04-30,1.6875
1992-05-01,1.65625
1992-05-04,1.609375
1992-05-05,1.6328129999999998
1992-05-06,1.640625
1992-05-07,1.6328129999999998
1992-05-08,1.625
1992-05-11,1.65625
1992-05-12,1.6328129999999998
1992-05-13,1.640625
1992-05-14,1.625
1992-05-15,1.5859379999999998
1992-05-18,1.5625
1992-05-19,1.5
1992-05-20,1.515625
1992-05-21,1.4375
1992-05-22,1.375
1992-05-26,1.328125
1992-05-27,1.3984379999999998
1992-05-28,1.453125
1992-05-29,1.484375
1992-06-01,1.484375
1992-06-02,1.453125
1992-06-03,1.421875
1992-06-04,1.453125
1992-06-05,1.453125
1992-06-08,1.46875
1992-06-09,1.421875
1992-06-10,1.3125
1992-06-11,1.2890629999999998
1992-06-12,1.296875
1992-06-15,1.359375
1992-06-16,1.359375
1992-06-17,1.296875
1992-06-18,1.28125
1992-06-19,1.359375
1992-06-22,1.359375
1992-06-23,1.359375
1992-06-24,1.375
1992-06-25,1.21875
1992-06-26,1.25
1992-06-29,1.359375
1992-06-30,1.3125
1992-07-01,1.328125
1992-07-02,1.328125
1992-07-06,1.34375
1992-07-07,1.328125
1992-07-08,1.3046879999999998
1992-07-09,1.359375
1992-07-10,1.34375
1992-07-13,1.328125
1992-07-14,1.28125
1992-07-15,1.34375
1992-07-16,1.359375
1992-07-17,1.34375
1992-07-20,1.25
1992-07-21,1.2734379999999998
1992-07-22,1.265625
1992-07-23,1.28125
1992-07-24,1.265625
1992-07-27,1.296875
1992-07-28,1.390625
1992-07-29,1.453125
1992-07-30,1.421875
1992-07-31,1.4375
1992-08-03,1.453125
1992-08-04,1.4375
1992-08-05,1.4375
1992-08-06,1.453125
1992-08-07,1.46875
1992-08-10,1.4375
1992-08-11,1.484375
1992-08-12,1.484375
