Date,JWN
1983-06-30,5.0
1983-07-01,5.0
1983-07-05,4.9375
1983-07-06,4.96875
1983-07-07,5.03125
1983-07-08,5.03125
1983-07-11,5.0625
1983-07-12,5.25
1983-07-13,5.375
1983-07-14,5.46875
1983-07-15,5.5
1983-07-18,5.4375
1983-07-19,5.3125
1983-07-20,5.125
1983-07-21,5.28125
1983-07-22,5.28125
1983-07-25,5.28125
1983-07-26,5.28125
1983-07-27,5.40625
1983-07-28,5.3125
1983-07-29,5.25
1983-08-01,5.1875
1983-08-02,5.1875
1983-08-03,5.25
1983-08-04,5.1875
1983-08-05,5.125
1983-08-08,5.03125
1983-08-09,5.09375
1983-08-10,5.09375
1983-08-11,5.09375
1983-08-12,5.09375
1983-08-15,5.0625
1983-08-16,4.90625
1983-08-17,4.9375
1983-08-18,4.78125
1983-08-19,4.765625
1983-08-22,4.625
1983-08-23,4.53125
1983-08-24,4.5625
1983-08-25,4.5625
1983-08-26,4.53125
1983-08-29,4.5625
1983-08-30,4.5625
1983-08-31,4.90625
1983-09-01,5.0
1983-09-02,5.0
1983-09-06,4.96875
1983-09-07,4.9375
1983-09-08,4.9375
1983-09-09,4.9375
1983-09-12,4.9375
1983-09-13,4.875
1983-09-14,4.90625
1983-09-15,4.84375
1983-09-16,4.875
1983-09-19,4.875
1983-09-20,4.84375
1983-09-21,4.8125
1983-09-22,4.875
1983-09-23,4.84375
1983-09-26,4.8125
1983-09-27,4.78125
1983-09-28,4.84375
1983-09-29,4.75
1983-09-30,4.65625
1983-10-03,4.6875
1983-10-04,4.71875
1983-10-05,4.6875
1983-10-06,4.6875
1983-10-07,4.875
1983-10-10,4.90625
1983-10-11,4.90625
1983-10-12,4.84375
1983-10-13,4.84375
1983-10-14,4.71875
1983-10-17,4.6875
1983-10-18,4.75
1983-10-19,4.625
1983-10-20,4.59375
1983-10-21,4.59375
1983-10-24,4.59375
1983-10-25,4.625
1983-10-26,4.65625
1983-10-27,4.65625
1983-10-28,4.65625
1983-10-31,4.71875
1983-11-01,4.78125
1983-11-02,4.78125
1983-11-03,4.71875
1983-11-04,4.640625
1983-11-07,4.625
1983-11-08,4.59375
1983-11-09,4.59375
1983-11-10,4.53125
1983-11-11,4.5
1983-11-14,4.65625
1983-11-15,4.609375
1983-11-16,4.71875
1983-11-17,4.8125
1983-11-18,4.9375
1983-11-21,4.90625
1983-11-22,4.953125
1983-11-23,5.0
1983-11-25,4.96875
1983-11-28,4.96875
1983-11-29,4.96875
1983-11-30,4.890625
1983-12-01,4.875
1983-12-02,4.859375
1983-12-05,4.78125
1983-12-06,4.625
1983-12-07,4.59375
1983-12-08,4.59375
1983-12-09,4.53125
1983-12-12,4.46875
1983-12-13,4.5
1983-12-14,4.46875
1983-12-15,4.46875
1983-12-16,4.4375
1983-12-19,4.4375
1983-12-20,4.40625
1983-12-21,4.46875
1983-12-22,4.4375
1983-12-23,4.5
1983-12-27,4.5
1983-12-28,4.5
1983-12-29,4.46875
1983-12-30,4.46875
1984-01-03,4.4375
1984-01-04,4.46875
1984-01-05,4.453125
1984-01-06,4.5
1984-01-09,4.5625
1984-01-10,4.6875
1984-01-11,4.71875
1984-01-12,4.6875
1984-01-13,4.6875
1984-01-16,4.625
1984-01-17,4.625
1984-01-18,4.75
1984-01-19,4.75
1984-01-20,4.765625
1984-01-23,4.65625
1984-01-24,4.71875
1984-01-25,4.625
1984-01-26,4.53125
1984-01-27,4.53125
1984-01-30,4.4375
1984-01-31,4.5
1984-02-01,4.46875
1984-02-02,4.5625
1984-02-03,4.5
1984-02-06,4.5
1984-02-07,4.4375
1984-02-08,4.375
1984-02-09,4.375
1984-02-10,4.40625
1984-02-13,4.21875
1984-02-14,4.25
1984-02-15,4.34375
1984-02-16,4.34375
1984-02-17,4.3125
1984-02-21,4.3125
1984-02-22,4.1875
1984-02-23,4.0625
1984-02-24,4.203125
1984-02-27,4.1875
1984-02-28,4.15625
1984-02-29,3.96875
1984-03-01,3.90625
1984-03-02,3.796875
1984-03-05,3.59375
1984-03-06,3.546875
1984-03-07,3.453125
1984-03-08,3.5625
1984-03-09,3.59375
1984-03-12,3.65625
1984-03-13,3.71875
1984-03-14,3.84375
1984-03-15,3.90625
1984-03-16,3.90625
1984-03-19,3.84375
1984-03-20,3.8125
1984-03-21,3.90625
1984-03-22,3.875
1984-03-23,3.78125
1984-03-26,3.71875
1984-03-27,3.734375
1984-03-28,3.71875
1984-03-29,3.8125
1984-03-30,3.8125
1984-04-02,3.78125
1984-04-03,3.71875
1984-04-04,3.71875
1984-04-05,3.625
1984-04-06,3.65625
1984-04-09,3.625
1984-04-10,3.59375
1984-04-11,3.65625
1984-04-12,3.6875
1984-04-13,3.6875
1984-04-16,3.71875
1984-04-17,3.75
1984-04-18,3.78125
1984-04-19,3.78125
