Date,EQR
1996-06-26,16.5
1996-06-27,16.375
1996-06-28,16.4375
1996-07-01,16.5625
1996-07-02,16.6875
1996-07-03,16.6875
1996-07-05,16.6875
1996-07-08,16.625
1996-07-09,16.625
1996-07-10,16.6875
1996-07-11,16.6875
1996-07-12,16.9375
1996-07-15,16.875
1996-07-16,16.875
1996-07-17,16.875
1996-07-18,16.9375
1996-07-19,17.0
1996-07-22,16.9375
1996-07-23,16.875
1996-07-24,16.875
1996-07-25,16.9375
1996-07-26,16.875
1996-07-29,17.0
1996-07-30,16.8125
1996-07-31,16.875
1996-08-01,17.0625
1996-08-02,17.5625
1996-08-05,17.5625
1996-08-06,17.5
1996-08-07,17.4375
1996-08-08,17.3125
1996-08-09,17.1875
1996-08-12,17.3125
1996-08-13,17.375
1996-08-14,17.5
1996-08-15,17.3125
1996-08-16,17.25
1996-08-19,17.375
1996-08-20,17.5
1996-08-21,17.5
1996-08-22,17.5
1996-08-23,17.5
1996-08-26,17.4375
1996-08-27,17.5
1996-08-28,17.5
1996-08-29,17.5625
1996-08-30,17.6875
1996-09-03,17.875
1996-09-04,17.8125
1996-09-05,17.8125
1996-09-06,17.6875
1996-09-09,17.75
1996-09-10,17.8125
1996-09-11,17.75
1996-09-12,17.8125
1996-09-13,17.8125
1996-09-16,17.6875
1996-09-17,17.6875
1996-09-18,17.625
1996-09-19,17.625
1996-09-20,17.6875
1996-09-23,17.6875
1996-09-24,17.8125
1996-09-25,17.6875
1996-09-26,17.75
1996-09-27,17.8125
1996-09-30,17.8125
1996-10-01,18.0625
1996-10-02,17.9375
1996-10-03,18.125
1996-10-04,18.25
1996-10-07,18.0625
1996-10-08,18.0625
1996-10-09,18.1875
1996-10-10,18.1875
1996-10-11,18.4375
1996-10-14,18.4375
1996-10-15,18.5
1996-10-16,18.625
1996-10-17,18.6875
1996-10-18,18.6875
1996-10-21,18.5625
1996-10-22,18.6875
1996-10-23,18.6875
1996-10-24,18.6875
1996-10-25,18.6875
1996-10-28,18.5625
1996-10-29,18.5
1996-10-30,18.5
1996-10-31,18.375
1996-11-01,18.6875
1996-11-04,18.625
1996-11-05,18.9375
1996-11-06,19.375
1996-11-07,19.25
1996-11-08,19.5625
1996-11-11,19.625
1996-11-12,19.875
1996-11-13,19.9375
1996-11-14,19.9375
1996-11-15,20.0
1996-11-18,19.9375
1996-11-19,19.9375
1996-11-20,19.75
1996-11-21,19.75
1996-11-22,19.75
1996-11-25,19.9375
1996-11-26,20.0
1996-11-27,20.25
1996-11-29,20.0625
1996-12-02,20.5625
1996-12-03,21.0
1996-12-04,20.75
1996-12-05,20.625
1996-12-06,20.6875
1996-12-09,21.5
1996-12-10,21.4375
1996-12-11,21.4375
1996-12-12,21.4375
1996-12-13,21.3125
1996-12-16,20.9375
1996-12-17,20.9375
1996-12-18,21.4375
1996-12-19,21.625
1996-12-20,21.3125
1996-12-23,21.3125
1996-12-24,21.125
1996-12-26,20.9375
1996-12-27,21.0625
1996-12-30,20.5
1996-12-31,20.625
1997-01-02,20.3125
1997-01-03,20.5
1997-01-06,20.9375
1997-01-07,21.0625
1997-01-08,21.25
1997-01-09,21.375
1997-01-10,21.3125
1997-01-13,21.4375
1997-01-14,21.4375
1997-01-15,21.625
1997-01-16,21.6875
1997-01-17,21.1875
1997-01-20,20.9375
1997-01-21,21.0
1997-01-22,20.9375
1997-01-23,20.875
1997-01-24,20.625
1997-01-27,20.6875
1997-01-28,20.75
1997-01-29,20.8125
1997-01-30,20.9375
1997-01-31,21.5
1997-02-03,21.4375
1997-02-04,21.3125
1997-02-05,21.3125
1997-02-06,21.3125
1997-02-07,21.375
1997-02-10,21.375
1997-02-11,21.125
1997-02-12,21.4375
1997-02-13,22.25
1997-02-14,22.25
1997-02-18,22.5
1997-02-19,22.75
1997-02-20,22.6875
1997-02-21,22.625
1997-02-24,22.6875
1997-02-25,22.75
1997-02-26,22.8125
1997-02-27,22.75
1997-02-28,22.625
1997-03-03,22.75
1997-03-04,22.8125
1997-03-05,22.9375
1997-03-06,23.0625
1997-03-07,23.875
1997-03-10,24.0
1997-03-11,24.1875
1997-03-12,24.25
1997-03-13,24.0
1997-03-14,23.8125
1997-03-17,23.8125
1997-03-18,23.6875
1997-03-19,23.75
1997-03-20,23.875
1997-03-21,23.6875
1997-03-24,23.4375
1997-03-25,22.9375
1997-03-26,22.75
1997-03-27,22.5625
1997-03-31,22.21875
1997-04-01,22.1875
1997-04-02,22.3125
1997-04-03,22.3125
1997-04-04,22.3125
1997-04-07,22.75
1997-04-08,22.9375
1997-04-09,22.8125
1997-04-10,22.5625
1997-04-11,22.375
1997-04-14,22.1875
1997-04-15,22.25
1997-04-16,21.9375
1997-04-17,21.625
1997-04-18,21.5625
1997-04-21,21.6875
1997-04-22,21.5
1997-04-23,21.0
1997-04-24,21.1875
1997-04-25,21.1875
1997-04-28,21.375
1997-04-29,21.6875
1997-04-30,21.875
1997-05-01,21.75
1997-05-02,21.75
1997-05-05,21.9375
1997-05-06,21.625
1997-05-07,21.5
1997-05-08,21.4375
1997-05-09,21.5
1997-05-12,21.625
1997-05-13,21.5
1997-05-14,21.75
1997-05-15,22.125
1997-05-16,22.4375
1997-05-19,22.75
1997-05-20,22.625
1997-05-21,22.875
1997-05-22,22.875
1997-05-23,22.9375
1997-05-27,23.0
1997-05-28,23.0625
1997-05-29,23.0625
1997-05-30,23.625
1997-06-02,23.25
1997-06-03,23.25
1997-06-04,23.0625
1997-06-05,22.8125
1997-06-06,23.4375
1997-06-09,22.9375
1997-06-10,22.9375
1997-06-11,22.875
1997-06-12,22.9375
1997-06-13,23.125
1997-06-16,23.4375
1997-06-17,23.4375
1997-06-18,23.4375
1997-06-19,23.4375
1997-06-20,23.3125
1997-06-23,23.5
1997-06-24,23.34375
1997-06-25,23.0625
1997-06-26,23.1875
1997-06-27,23.28125
1997-06-30,23.75
1997-07-01,23.75
1997-07-02,23.96875
1997-07-03,23.875
1997-07-07,24.0
1997-07-08,24.46875
1997-07-09,24.375
1997-07-10,24.6875
1997-07-11,25.0
1997-07-14,24.96875
1997-07-15,25.21875
1997-07-16,25.5
1997-07-17,25.5
1997-07-18,25.5
1997-07-21,25.15625
1997-07-22,25.53125
1997-07-23,25.6875
1997-07-24,25.78125
1997-07-25,25.9375
1997-07-28,25.84375
1997-07-29,25.625
1997-07-30,25.4375
1997-07-31,25.21875
1997-08-01,25.625
1997-08-04,25.75
1997-08-05,26.1875
1997-08-06,26.25
1997-08-07,26.25
1997-08-08,26.25
1997-08-11,25.71875
1997-08-12,25.5
1997-08-13,25.25
1997-08-14,25.4375
1997-08-15,25.59375
1997-08-18,25.9375
1997-08-19,26.0
1997-08-20,26.0625
1997-08-21,25.53125
1997-08-22,25.53125
1997-08-25,25.21875
1997-08-26,25.46875
1997-08-27,25.1875
1997-08-28,24.375
1997-08-29,24.34375
1997-09-02,24.46875
1997-09-03,24.84375
1997-09-04,25.0625
1997-09-05,25.03125
1997-09-08,25.0
1997-09-09,25.03125
1997-09-10,25.125
1997-09-11,25.5625
1997-09-12,25.65625
1997-09-15,25.375
1997-09-16,25.46875
1997-09-17,25.40625
1997-09-18,25.25
1997-09-19,25.21875
1997-09-22,25.25
1997-09-23,25.6875
1997-09-24,25.40625
1997-09-25,25.6875
1997-09-26,25.96875
1997-09-29,26.375
1997-09-30,27.28125
1997-10-01,27.40625
1997-10-02,27.21875
1997-10-03,27.125
1997-10-06,27.21875
1997-10-07,27.28125
1997-10-08,27.34375
1997-10-09,27.15625
1997-10-10,27.0
1997-10-13,26.71875
1997-10-14,26.53125
1997-10-15,26.375
1997-10-16,26.25
1997-10-17,26.25
1997-10-20,26.28125
1997-10-21,26.1875
1997-10-22,26.21875
1997-10-23,26.15625
1997-10-24,25.96875
1997-10-27,25.40625
1997-10-28,25.03125
1997-10-29,25.375
1997-10-30,25.1875
1997-10-31,25.25
1997-11-03,25.25
1997-11-04,25.125
1997-11-05,25.34375
1997-11-06,25.375
1997-11-07,25.3125
1997-11-10,25.1875
1997-11-11,24.96875
1997-11-12,24.8125
1997-11-13,24.65625
1997-11-14,24.75
1997-11-17,24.84375
1997-11-18,24.84375
1997-11-19,24.875
1997-11-20,25.09375
1997-11-21,25.09375
1997-11-24,24.875
1997-11-25,24.78125
1997-11-26,24.8125
1997-11-28,25.0
1997-12-01,24.875
1997-12-02,24.53125
1997-12-03,24.9375
1997-12-04,25.0
1997-12-05,24.75
1997-12-08,25.03125
1997-12-09,25.375
1997-12-10,25.9375
1997-12-11,25.53125
1997-12-12,25.625
1997-12-15,25.53125
1997-12-16,25.625
1997-12-17,25.6875
1997-12-18,25.65625
1997-12-19,25.0
1997-12-22,24.9375
1997-12-23,25.0625
1997-12-24,25.3125
1997-12-26,25.25
1997-12-29,25.4375
1997-12-30,25.4375
1997-12-31,25.28125
1998-01-02,25.3125
1998-01-05,25.375
1998-01-06,25.34375
1998-01-07,25.34375
1998-01-08,25.46875
1998-01-09,25.5
1998-01-12,25.25
1998-01-13,25.21875
1998-01-14,25.34375
1998-01-15,25.75
