Date,ULTA
2011-12-14,67.209999
2011-12-15,66.720001
2011-12-16,67.010002
2011-12-19,64.910004
2011-12-20,66.970001
2011-12-21,65.870003
2011-12-22,64.160004
2011-12-23,66.260002
2011-12-27,65.510002
2011-12-28,64.089996
2011-12-29,64.66999799999999
2011-12-30,64.91999799999999
2012-01-03,64.099998
2012-01-04,66.370003
2012-01-05,69.559998
2012-01-06,69.519997
2012-01-09,69.93
2012-01-10,70.459999
2012-01-11,71.779999
2012-01-12,71.93
2012-01-13,73.129997
2012-01-17,74.129997
2012-01-18,75.75
2012-01-19,77.389999
2012-01-20,76.260002
2012-01-23,76.900002
2012-01-24,77.379997
2012-01-25,78.800003
2012-01-26,76.690002
2012-01-27,77.309998
2012-01-30,77.269997
2012-01-31,76.150002
2012-02-01,76.82
2012-02-02,76.610001
2012-02-03,78.110001
2012-02-06,78.68
2012-02-07,79.650002
2012-02-08,80.610001
2012-02-09,81.41999799999999
2012-02-10,80.839996
2012-02-13,82.050003
2012-02-14,82.800003
2012-02-15,83.529999
2012-02-16,84.16999799999999
2012-02-17,82.559998
2012-02-21,82.059998
2012-02-22,82.57
2012-02-23,83.400002
2012-02-24,81.940002
2012-02-27,83.809998
2012-02-28,83.879997
2012-02-29,83.239998
2012-03-01,85.309998
2012-03-02,85.150002
2012-03-05,87.139999
2012-03-06,85.849998
2012-03-07,87.91999799999999
2012-03-08,89.269997
2012-03-09,89.279999
2012-03-12,88.459999
2012-03-13,90.0
2012-03-14,89.459999
2012-03-15,90.370003
2012-03-16,88.58000200000001
2012-03-19,89.599998
2012-03-20,90.610001
2012-03-21,92.07
2012-03-22,93.589996
2012-03-23,93.550003
2012-03-26,94.510002
2012-03-27,93.970001
2012-03-28,93.589996
2012-03-29,92.83000200000001
2012-03-30,92.889999
2012-04-02,93.91999799999999
2012-04-03,95.010002
2012-04-04,94.93
2012-04-05,95.040001
2012-04-09,94.370003
2012-04-10,91.860001
2012-04-11,93.699997
2012-04-12,94.730003
2012-04-13,94.93
2012-04-16,93.150002
2012-04-17,94.459999
2012-04-18,95.559998
2012-04-19,94.489998
2012-04-20,95.349998
2012-04-23,93.529999
2012-04-24,87.150002
2012-04-25,89.129997
2012-04-26,89.529999
2012-04-27,89.620003
2012-04-30,88.18
2012-05-01,89.08000200000001
2012-05-02,91.33000200000001
2012-05-03,90.849998
2012-05-04,87.489998
2012-05-07,86.059998
2012-05-08,85.0
2012-05-09,84.269997
2012-05-10,86.059998
2012-05-11,87.959999
2012-05-14,87.339996
2012-05-15,87.510002
2012-05-16,90.309998
2012-05-17,85.870003
2012-05-18,85.32
2012-05-21,87.839996
2012-05-22,90.5
2012-05-23,91.199997
2012-05-24,90.93
2012-05-25,90.949997
2012-05-29,91.239998
2012-05-30,89.599998
2012-05-31,89.370003
2012-06-01,86.550003
2012-06-04,86.290001
2012-06-05,87.379997
2012-06-06,94.739998
2012-06-07,93.33000200000001
2012-06-08,94.0
2012-06-11,92.25
2012-06-12,94.260002
2012-06-13,91.650002
2012-06-14,92.980003
2012-06-15,95.839996
2012-06-18,97.010002
2012-06-19,96.760002
2012-06-20,97.699997
2012-06-21,95.050003
2012-06-22,95.610001
2012-06-25,94.370003
2012-06-26,94.16999799999999
2012-06-27,93.260002
2012-06-28,90.290001
2012-06-29,93.379997
2012-07-02,92.07
2012-07-03,93.589996
2012-07-05,94.410004
