Date,MAXR
2012-02-06,45.0
2012-02-07,45.0
2012-02-08,45.0
2012-02-09,45.0
2012-02-10,45.0
2012-02-13,45.0
2012-02-14,45.0
2012-02-15,45.0
2012-02-16,45.0
2012-02-17,45.0
2012-02-21,45.0
2012-02-22,45.0
2012-02-23,45.0
2012-02-24,45.0
2012-02-27,45.0
2012-02-28,45.0
2012-02-29,44.700001
2012-03-01,44.700001
2012-03-02,44.700001
2012-03-05,44.700001
2012-03-06,44.700001
2012-03-07,44.700001
2012-03-08,44.700001
2012-03-09,44.700001
2012-03-12,44.700001
2012-03-13,44.700001
2012-03-14,44.700001
2012-03-15,44.700001
2012-03-16,44.700001
2012-03-19,44.700001
2012-03-20,44.700001
2012-03-21,44.700001
2012-03-22,44.700001
2012-03-23,44.700001
2012-03-26,44.700001
2012-03-27,44.700001
2012-03-28,44.700001
2012-03-29,44.700001
2012-03-30,44.700001
2012-04-02,44.16
2012-04-03,44.889998999999996
2012-04-04,44.889998999999996
2012-04-05,44.889998999999996
2012-04-09,44.889998999999996
2012-04-10,44.889998999999996
2012-04-11,44.889998999999996
2012-04-12,44.889998999999996
2012-04-13,44.889998999999996
2012-04-16,44.889998999999996
2012-04-17,44.889998999999996
2012-04-18,44.889998999999996
2012-04-19,44.889998999999996
2012-04-20,41.48
2012-04-23,41.169998
2012-04-24,41.169998
2012-04-25,41.169998
2012-04-26,41.169998
2012-04-27,41.169998
2012-04-30,41.169998
2012-05-01,41.169998
2012-05-02,41.169998
2012-05-03,41.169998
2012-05-04,41.169998
2012-05-07,41.169998
2012-05-08,44.02
2012-05-09,43.950001
2012-05-10,43.950001
2012-05-11,43.950001
2012-05-14,43.950001
2012-05-15,43.950001
2012-05-16,43.950001
2012-05-17,43.950001
2012-05-18,43.450001
2012-05-21,43.450001
2012-05-22,43.450001
2012-05-23,42.900002
2012-05-24,43.369999
2012-05-25,43.369999
2012-05-29,43.369999
2012-05-30,43.369999
2012-05-31,43.369999
2012-06-01,43.369999
2012-06-04,43.369999
2012-06-05,43.369999
2012-06-06,43.369999
2012-06-07,43.369999
2012-06-08,43.369999
2012-06-11,43.369999
2012-06-12,43.369999
2012-06-13,43.369999
2012-06-14,43.369999
2012-06-15,43.369999
2012-06-18,43.369999
2012-06-19,43.369999
2012-06-20,43.369999
2012-06-21,43.369999
2012-06-22,43.369999
2012-06-25,43.369999
2012-06-26,43.369999
2012-06-27,43.369999
2012-06-28,43.369999
2012-06-29,43.369999
2012-07-02,43.369999
2012-07-03,43.369999
2012-07-05,55.5
2012-07-06,54.439999
2012-07-09,54.439999
2012-07-10,53.970001
2012-07-11,53.970001
2012-07-12,54.099998
2012-07-13,54.099998
2012-07-16,54.099998
2012-07-17,54.419998
2012-07-18,54.419998
2012-07-19,54.549999
2012-07-20,54.549999
2012-07-23,54.549999
2012-07-24,53.93
2012-07-25,53.93
2012-07-26,53.700001
2012-07-27,53.700001
2012-07-30,53.700001
2012-07-31,53.700001
2012-08-01,53.700001
2012-08-02,53.700001
2012-08-03,53.700001
2012-08-06,54.040001000000004
2012-08-07,54.040001000000004
2012-08-08,54.040001000000004
2012-08-09,54.040001000000004
2012-08-10,58.25
2012-08-13,58.419998
2012-08-14,58.509997999999996
2012-08-15,58.509997999999996
2012-08-16,58.509997999999996
2012-08-17,58.509997999999996
2012-08-20,58.509997999999996
2012-08-21,58.509997999999996
2012-08-22,58.509997999999996
2012-08-23,58.509997999999996
2012-08-24,58.509997999999996
2012-08-27,61.419998
2012-08-28,60.939999
2012-08-29,60.290001000000004
2012-08-30,59.860001000000004
2012-08-31,59.860001000000004
2012-09-04,59.860001000000004
2012-09-05,59.860001000000004
2012-09-06,59.860001000000004
2012-09-07,59.860001000000004
2012-09-10,59.860001000000004
2012-09-11,59.860001000000004
