Date,MON
2016-07-06,99.400002
2016-07-07,100.639999
2016-07-08,102.68
2016-07-11,102.58000200000001
2016-07-12,102.33000200000001
2016-07-13,101.129997
2016-07-14,104.220001
2016-07-15,103.449997
2016-07-18,106.440002
2016-07-19,106.870003
2016-07-20,106.760002
2016-07-21,106.099998
2016-07-22,105.68
2016-07-25,105.260002
2016-07-26,106.019997
2016-07-27,106.75
2016-07-28,106.120003
2016-07-29,106.769997
2016-08-01,105.800003
2016-08-02,105.620003
2016-08-03,104.360001
2016-08-04,106.41999799999999
2016-08-05,106.93
2016-08-08,106.75
2016-08-09,106.5
2016-08-10,105.940002
2016-08-11,105.91999799999999
2016-08-12,105.25
2016-08-15,104.980003
2016-08-16,105.440002
2016-08-17,104.230003
2016-08-18,103.989998
2016-08-19,104.150002
2016-08-22,104.5
2016-08-23,107.099998
2016-08-24,107.0
2016-08-25,106.989998
2016-08-26,107.400002
2016-08-29,107.540001
2016-08-30,107.440002
2016-08-31,106.5
2016-09-01,106.910004
2016-09-02,107.440002
2016-09-06,106.07
2016-09-07,106.57
2016-09-08,108.050003
2016-09-09,106.779999
2016-09-12,106.989998
2016-09-13,106.099998
2016-09-14,106.760002
2016-09-15,104.220001
2016-09-16,103.449997
2016-09-19,101.800003
2016-09-20,102.879997
2016-09-21,104.360001
2016-09-22,104.199997
2016-09-23,103.5
2016-09-26,102.129997
2016-09-27,102.25
2016-09-28,102.559998
2016-09-29,101.790001
2016-09-30,102.199997
2016-10-03,102.470001
2016-10-04,102.150002
2016-10-05,103.18
2016-10-06,103.5
2016-10-07,103.360001
2016-10-10,102.970001
2016-10-11,103.33000200000001
2016-10-12,102.32
2016-10-13,102.540001
2016-10-14,102.110001
2016-10-17,102.16999799999999
2016-10-18,102.66999799999999
2016-10-19,102.489998
2016-10-20,102.860001
2016-10-21,102.07
2016-10-24,102.0
2016-10-25,101.400002
2016-10-26,101.33000200000001
2016-10-27,101.019997
2016-10-28,100.980003
2016-10-31,100.769997
2016-11-01,100.690002
2016-11-02,99.779999
2016-11-03,98.809998
2016-11-04,98.519997
2016-11-07,99.190002
2016-11-08,99.440002
2016-11-09,98.940002
2016-11-10,97.93
2016-11-11,97.900002
2016-11-14,98.089996
2016-11-15,99.089996
2016-11-16,100.730003
2016-11-17,100.660004
2016-11-18,101.209999
2016-11-21,101.32
2016-11-22,101.75
2016-11-23,102.41999799999999
2016-11-25,102.559998
2016-11-28,102.029999
2016-11-29,102.389999
2016-11-30,102.709999
2016-12-01,103.5
2016-12-02,103.910004
2016-12-05,104.269997
2016-12-06,105.800003
2016-12-07,105.410004
2016-12-08,104.699997
2016-12-09,104.589996
2016-12-12,104.589996
2016-12-13,104.519997
2016-12-14,104.32
2016-12-15,105.379997
2016-12-16,105.5
2016-12-19,105.58000200000001
2016-12-20,105.489998
2016-12-21,105.209999
2016-12-22,105.33000200000001
2016-12-23,105.260002
2016-12-27,105.690002
2016-12-28,105.199997
2016-12-29,105.099998
2016-12-30,105.209999
2017-01-03,105.309998
2017-01-04,105.050003
2017-01-05,105.209999
2017-01-06,108.129997
2017-01-09,108.949997
2017-01-10,108.440002
2017-01-11,108.449997
2017-01-12,107.33000200000001
2017-01-13,107.620003
2017-01-17,108.16999799999999
2017-01-18,108.099998
