Date,CX
2003-08-27,9.381186
2003-08-28,9.346989
2003-08-29,9.498973
2003-09-02,9.555966
2003-09-03,9.726948
2003-09-04,9.783942
2003-09-05,9.795341
2003-09-08,9.924526
2003-09-09,9.810539
2003-09-10,9.745946
2003-09-11,9.650955999999999
2003-09-12,9.726948
2003-09-15,9.780142
2003-09-16,9.875132
2003-09-17,9.780142
2003-09-18,9.871332
2003-09-19,9.833337
2003-09-22,9.764944
2003-09-23,9.635757
2003-09-24,9.567366
2003-09-25,9.460977
2003-09-26,9.411582000000001
2003-09-29,9.559766
2003-09-30,9.479975
2003-10-01,9.685152
2003-10-02,9.221602
2003-10-03,9.069619
2003-10-06,8.853043
2003-10-07,8.887239
2003-10-08,8.944233
2003-10-09,9.06202
2003-10-10,9.081017
2003-10-13,9.031623
2003-10-14,8.830245
2003-10-15,8.818846
2003-10-16,8.834044
2003-10-17,8.929034
2003-10-20,9.005025999999999
2003-10-21,9.035422
2003-10-22,8.997427
2003-10-23,8.860641000000001
2003-10-24,9.043022
2003-10-27,9.005025999999999
2003-10-28,8.997427
2003-10-29,8.951832000000001
2003-10-30,9.043022
2003-10-31,9.119014
2003-11-03,9.445779
2003-11-04,9.510371000000001
2003-11-05,9.510371000000001
2003-11-06,9.658555
2003-11-07,9.476175
2003-11-10,9.411582000000001
2003-11-11,9.312793
2003-11-12,9.483774
2003-11-13,9.768744
2003-11-14,9.631958000000001
2003-11-17,9.559766
2003-11-18,9.643357
2003-11-19,9.495173
2003-11-20,9.327991
2003-11-21,9.248199000000001
2003-11-24,9.263398
2003-11-25,9.52177
2003-11-26,9.491373
2003-11-28,9.601562
2003-12-01,9.628159
2003-12-02,9.738347000000001
2003-12-03,9.555966
2003-12-04,9.559766
2003-12-05,9.540768
2003-12-08,9.555966
2003-12-09,9.517971000000001
2003-12-10,9.33559
2003-12-11,9.502772
2003-12-12,9.346989
2003-12-15,9.282396
2003-12-16,9.289995
2003-12-17,9.248199000000001
2003-12-18,9.590163
2003-12-19,9.662355
2003-12-22,9.658555
2003-12-23,9.692752
2003-12-24,9.802939
2003-12-26,9.753544999999999
2003-12-29,9.970121
2003-12-30,9.992919
2003-12-31,9.954924
2004-01-02,10.049913
2004-01-05,10.312085
2004-01-06,10.323483
2004-01-07,10.391876
2004-01-08,10.467868
2004-01-09,10.44887
2004-01-12,10.433672
2004-01-13,10.315885
2004-01-14,10.464068
2004-01-15,10.315885
2004-01-16,10.300686
2004-01-20,10.285487
2004-01-21,10.638849
2004-01-22,10.923819
2004-01-23,10.969414
2004-01-26,10.923819
2004-01-27,11.060604
2004-01-28,10.904819999999999
2004-01-29,10.741438
2004-01-30,10.783234
2004-02-02,10.836428
2004-02-03,10.81363
2004-02-04,10.730039999999999
2004-02-05,10.832628
