Date,ISBC
2008-05-22,5.590427
2008-05-23,5.500196
2008-05-27,5.645351
2008-05-28,5.582582
2008-05-29,5.688505
2008-05-30,5.60612
2008-06-02,5.6139660000000005
2008-06-03,5.54335
2008-06-04,5.539427
2008-06-05,5.617889
2008-06-06,5.476657
2008-06-09,5.335426
2008-06-10,5.464887999999999
2008-06-11,5.355041
2008-06-12,5.437427
2008-06-13,5.511965
2008-06-16,5.5943510000000005
2008-06-17,5.453119
2008-06-18,5.394272
2008-06-19,5.468812000000001
2008-06-20,5.508042
2008-06-23,5.394272
2008-06-24,5.37858
2008-06-25,5.449196
2008-06-26,5.398194999999999
2008-06-27,5.280501999999999
2008-06-30,5.123578
2008-07-01,5.209886
2008-07-02,5.147117
2008-07-03,5.0255
2008-07-07,5.001962000000001
2008-07-08,5.221655
2008-07-09,5.0372699999999995
2008-07-10,5.123578
2008-07-11,5.158886
2008-07-14,4.998037999999999
2008-07-15,4.939192
2008-07-16,5.343272
2008-07-17,5.621812
2008-07-18,5.692429
2008-07-21,5.649274
2008-07-22,5.825814
2008-07-23,5.751275
2008-07-24,5.629658999999999
2008-07-25,5.629658999999999
2008-07-28,5.570812
2008-07-29,5.770891000000001
2008-07-30,5.970969
2008-07-31,5.967046
2008-08-01,5.900353
2008-08-04,5.888584
2008-08-05,6.002354
2008-08-06,6.018046
2008-08-07,5.935661
2008-08-08,6.0102
2008-08-11,6.143586
2008-08-12,6.131816000000001
2008-08-13,6.053354
2008-08-14,6.049430999999999
2008-08-15,6.037662
2008-08-18,5.947430000000001
2008-08-19,5.845429
2008-08-20,5.8179680000000005
2008-08-21,5.704198
2008-08-22,5.766967
2008-08-25,5.5747349999999996
2008-08-26,5.5943510000000005
2008-08-27,5.566889
2008-08-28,5.766967
2008-08-29,5.7395059999999996
2008-09-02,5.727736
2008-09-03,5.735582
2008-09-04,5.6139660000000005
2008-09-05,5.661044
2008-09-08,5.853276
2008-09-09,5.755198
2008-09-10,5.731659
2008-09-11,5.766967
2008-09-12,5.8964300000000005
2008-09-15,5.704198
2008-09-16,6.0102
2008-09-17,5.747351999999999
2008-09-18,5.919969
2008-09-19,6.335818
2008-09-22,5.880738
2008-09-23,5.849353
2008-09-24,5.8768139999999995
2008-09-25,5.884661
2008-09-26,5.884661
2008-09-29,5.692429
2008-09-30,5.904276
2008-10-01,5.861122
2008-10-02,5.884661
2008-10-03,5.841506
2008-10-06,5.6531970000000005
2008-10-07,5.382503
2008-10-08,5.15104
2008-10-09,4.86073
2008-10-10,5.304041000000001
2008-10-13,5.5943510000000005
2008-10-14,5.394272
2008-10-15,5.1863470000000005
2008-10-16,5.578658
2008-10-17,5.276579
2008-10-20,5.562966
2008-10-21,5.535504
2008-10-22,5.276579
2008-10-23,5.25304
2008-10-24,5.147117
2008-10-27,5.041193
2008-10-28,5.421734
2008-10-29,5.276579
2008-10-30,5.535504
2008-10-31,5.633582
2008-11-03,5.49235
2008-11-04,5.464887999999999
2008-11-05,5.229502
2008-11-06,5.237348
2008-11-07,5.296195
2008-11-10,5.347195
2008-11-11,5.343272
2008-11-12,5.111809
2008-11-13,5.445272
2008-11-14,5.225579
2008-11-17,5.300117
2008-11-18,5.370734
2008-11-19,5.041193
2008-11-20,4.896038
2008-11-21,5.060808
2008-11-24,5.374657
2008-11-25,5.4570419999999995
2008-11-26,5.488427
2008-11-28,5.49235
2008-12-01,4.970577
2008-12-02,5.319733
2008-12-03,5.413888
2008-12-04,5.268733
2008-12-05,5.49235
2008-12-08,5.472734
2008-12-09,5.36681
2008-12-10,5.468812000000001
2008-12-11,5.249117
2008-12-12,5.319733
2008-12-15,4.943115
2008-12-16,5.096116
