Date,WDAY
2016-08-09,83.050003
2016-08-10,82.510002
2016-08-11,83.650002
2016-08-12,83.489998
2016-08-15,83.650002
2016-08-16,82.25
2016-08-17,80.699997
2016-08-18,81.370003
2016-08-19,82.08000200000001
2016-08-22,79.239998
2016-08-23,79.949997
2016-08-24,79.650002
2016-08-25,85.33000200000001
2016-08-26,83.08000200000001
2016-08-29,83.360001
2016-08-30,84.970001
2016-08-31,84.790001
2016-09-01,87.889999
2016-09-02,88.980003
2016-09-06,90.099998
2016-09-07,89.279999
2016-09-08,88.730003
2016-09-09,87.220001
2016-09-12,87.510002
2016-09-13,86.66999799999999
2016-09-14,86.730003
2016-09-15,88.5
2016-09-16,88.93
2016-09-19,88.650002
2016-09-20,88.690002
2016-09-21,90.519997
2016-09-22,90.279999
2016-09-23,89.510002
2016-09-26,88.32
2016-09-27,89.790001
2016-09-28,90.879997
2016-09-29,90.360001
2016-09-30,91.690002
2016-10-03,91.18
2016-10-04,90.489998
2016-10-05,92.050003
2016-10-06,91.559998
2016-10-07,91.040001
2016-10-10,91.779999
2016-10-11,88.290001
2016-10-12,87.620003
2016-10-13,87.150002
2016-10-14,87.010002
2016-10-17,86.08000200000001
2016-10-18,86.540001
2016-10-19,87.300003
2016-10-20,88.07
2016-10-21,88.480003
2016-10-24,88.540001
2016-10-25,87.709999
2016-10-26,86.68
2016-10-27,85.760002
2016-10-28,86.199997
2016-10-31,86.68
2016-11-01,84.959999
2016-11-02,83.099998
2016-11-03,83.0
2016-11-04,82.769997
2016-11-07,85.589996
2016-11-08,85.699997
2016-11-09,84.970001
2016-11-10,82.08000200000001
2016-11-11,82.739998
2016-11-14,80.519997
2016-11-15,81.410004
2016-11-16,80.91999799999999
2016-11-17,83.139999
2016-11-18,82.75
2016-11-21,83.849998
2016-11-22,83.150002
2016-11-23,83.129997
2016-11-25,83.639999
2016-11-28,83.18
2016-11-29,84.050003
2016-11-30,84.32
2016-12-01,81.599998
2016-12-02,71.400002
2016-12-05,73.68
2016-12-06,73.5
2016-12-07,72.699997
2016-12-08,71.809998
2016-12-09,70.650002
2016-12-12,70.019997
2016-12-13,70.559998
2016-12-14,68.91999799999999
2016-12-15,69.410004
2016-12-16,69.0
2016-12-19,69.129997
2016-12-20,68.660004
2016-12-21,67.900002
2016-12-22,66.550003
2016-12-23,67.470001
2016-12-27,68.099998
2016-12-28,66.93
2016-12-29,67.040001
2016-12-30,66.089996
2017-01-03,68.379997
2017-01-04,71.360001
2017-01-05,72.279999
2017-01-06,73.849998
2017-01-09,74.760002
2017-01-10,74.349998
2017-01-11,81.699997
2017-01-12,80.120003
2017-01-13,80.889999
2017-01-17,80.989998
2017-01-18,82.110001
2017-01-19,82.040001
2017-01-20,81.779999
2017-01-23,82.08000200000001
2017-01-24,82.629997
2017-01-25,84.730003
2017-01-26,84.099998
2017-01-27,84.769997
2017-01-30,82.709999
2017-01-31,83.089996
2017-02-01,82.379997
2017-02-02,82.66999799999999
2017-02-03,84.400002
2017-02-06,85.370003
2017-02-07,86.050003
2017-02-08,85.800003
2017-02-09,86.0
2017-02-10,85.519997
2017-02-13,85.410004
2017-02-14,86.239998
2017-02-15,87.059998
2017-02-16,85.5
2017-02-17,88.43
2017-02-21,88.639999
2017-02-22,88.220001
2017-02-23,88.190002
2017-02-24,89.660004
2017-02-27,90.190002
2017-02-28,82.93
2017-03-01,84.949997
2017-03-02,84.0
2017-03-03,83.940002
2017-03-06,82.66999799999999
2017-03-07,82.800003
2017-03-08,82.889999
2017-03-09,82.230003
2017-03-10,82.650002
2017-03-13,84.489998
2017-03-14,83.959999
2017-03-15,83.58000200000001
2017-03-16,85.040001
2017-03-17,84.959999
2017-03-20,85.5
2017-03-21,81.82
2017-03-22,81.449997
2017-03-23,81.470001
2017-03-24,82.949997
2017-03-27,82.91999799999999
2017-03-28,83.730003
2017-03-29,84.58000200000001
2017-03-30,83.699997
2017-03-31,83.279999
2017-04-03,82.32
2017-04-04,82.290001
2017-04-05,82.400002
2017-04-06,82.970001
2017-04-07,82.519997
2017-04-10,81.860001
2017-04-11,81.309998
2017-04-12,83.449997
2017-04-13,83.599998
2017-04-17,83.760002
2017-04-18,83.58000200000001
2017-04-19,84.349998
2017-04-20,85.709999
2017-04-21,85.0
2017-04-24,86.879997
2017-04-25,86.870003
2017-04-26,86.620003
2017-04-27,86.83000200000001
2017-04-28,87.400002
2017-05-01,88.650002
2017-05-02,89.349998
2017-05-03,89.269997
2017-05-04,90.650002
2017-05-05,91.860001
2017-05-08,90.260002
