,Mkt-RF,SMB,HML,RMW,CMA,RF,R_ME,R_IA,R_ROE,R_EG,rSP500,HiTec,NASDQ
197705,-1.45,1.28,0.84,0.33,0.11,0.37,1.5106,0.2061,1.7462,2.7125,-0.023567645,-1.47,
197706,4.71,2.07,-0.64,0.88,-1.22,0.4,3.0804,-0.707,2.3207,2.92,0.045359965,7.78,
197707,-1.69,1.82,-0.59,0.83,0.01,0.42,1.0218,1.0303,1.7279,2.4073,-0.016222183,-0.16,
197708,-1.75,0.89,-2.79,0.96,-0.62,0.44,-0.2567,-0.9221,1.3905,-0.0612,-0.021041993,0.49,
197709,-0.27,1.56,-0.49,1.23,-0.84,0.43,1.4214,-0.0246,1.3822,1.5164,-0.002480087,-1.79,
197710,-4.38,1.5,1.72,-0.3,-0.46,0.49,1.4077,-0.5652,-0.9856,1.1205,-0.043406226,-3.19,
197711,4,3.62,0.31,-0.05,0.65,0.5,4.5803,1.202,2.565,1.4966,0.026965628,5.22,
197712,0.27,1.6,-0.37,0.94,-0.65,0.49,1.4872,0.0436,1.2518,1.824,0.002847158,2.4,
197801,-6.01,2.69,3.31,-1.67,1.53,0.49,2.2906,0.9791,-1.7383,0.2813,-0.061514176,-4.73,
197802,-1.38,3.67,0.76,0.36,1.04,0.46,4.0881,1.3206,0.0728,1.6669,-0.024761894,-3.48,
197803,2.85,3.72,1.2,-0.6,1.88,0.53,3.3843,2.5349,-0.0044,0.1286,0.024931043,-0.69,
197804,7.88,-0.31,-3.54,2.82,-1.35,0.54,-0.1048,-0.362,5.5452,0.5713,0.085416468,13.31,
197805,1.76,4.56,-0.62,0.27,0.36,0.51,3.6571,0.8898,0.503,0.5269,0.004234184,1.62,
197806,-1.69,1.59,0.59,-1.44,-0.02,0.54,1.4508,0.43,1.5126,1.2215,-0.017585346,-0.36,
197807,5.11,0.15,-1.11,1.58,-0.78,0.56,0.1866,0.2737,1.82,2.6165,0.053909778,8.58,
197808,3.75,4.93,-0.46,1.39,0.42,0.56,4.7053,1.1637,1.9068,0.6588,0.025923729,6.02,
197809,-1.43,-0.28,1.87,-0.68,1.8,0.62,-0.7342,0.2454,-3.5455,-0.8557,-0.007261109,-4.16,
197810,-11.91,-10.05,1.36,0.17,1.03,0.68,-10.9812,0.5996,-1.1601,0.9792,-0.091574009,-10.82,
197811,2.71,2.85,-2.22,1.09,-1.21,0.7,4.0574,-1.0321,1.2777,1.5672,0.016639774,5.08,
197812,0.88,1.07,-2.19,1.96,-1.38,0.78,0.4927,-1.0916,2.6761,2.4785,0.014889166,6.44,
197901,4.23,3.84,2.27,-2.5,1.57,0.77,4.2986,1.6783,-1.2204,-1.32,0.039746113,4.31,
197902,-3.56,0.55,1.2,-1.14,1.04,0.73,0.3875,-0.4669,-2.4104,0.4715,-0.036525578,-3.31,
197903,5.68,3.16,-0.67,0.62,0.28,0.81,3.8495,0.762,2.3211,0.521,0.05515161,7.61,
197904,-0.06,2.4,1.05,1.05,0.21,0.8,2.3717,0.8093,1.8596,-0.2652,0.001673452,0.33,
197905,-2.21,0.15,1.32,-1.39,-0.35,0.82,0.5172,-0.0488,-0.6354,0.4403,-0.026336477,-1.98,
197906,3.85,0.99,1.48,-1.61,-0.45,0.81,0.866,-0.8884,-1.0071,-1.7176,0.038655651,0.49,
197907,0.82,1.24,1.7,-0.2,0.59,0.77,1.271,0.6421,0.5525,-0.6755,0.008745447,-1.52,
197908,5.53,1.97,-1.55,1.58,-1.45,0.77,1.6294,-0.348,2.8977,-0.0615,0.053077758,5.94,
197909,-0.82,-0.27,-0.87,1.02,0.54,0.83,-0.0593,-0.1385,0.6966,2.8822,0,-1.76,
197910,-8.1,-3.46,-1.86,1.04,0.24,0.87,-3.1861,0.0203,0.9841,1.6684,-0.068605928,-7.73,
197911,5.21,2.44,-3.25,0.11,-2,0.99,2.1608,-2.5489,2.2859,-0.3063,0.042624278,8.17,
197912,1.79,4.34,-1.98,-0.67,-1.01,0.95,3.976,-1.1103,1.2236,-0.0718,0.016767124,1.79,
198001,5.51,1.9,1.8,-1.67,2.01,0.8,0.7921,1.3627,1.7475,0.4129,0.057624624,7.37,
198002,-1.22,-1.49,0.62,0.11,3.04,0.89,-1.5739,1.6345,2.2602,3.6,-0.004379818,-3.56,
198003,-12.9,-6.97,-1.06,1.38,-1.34,1.21,-6.5916,0.7581,-1.1728,-1.0575,-0.101794893,-12.67,
198004,3.97,1,1.06,-2.09,0.54,1.26,1.3321,1.2175,0.1694,1.4254,0.041140221,0.72,
198005,5.26,2.1,0.39,0.31,-0.47,0.81,1.4786,-1.3314,-0.941,-0.7665,0.046570674,4.82,
198006,3.06,1.47,-0.89,-0.09,-0.95,0.61,1.3291,-1.1272,3.0683,0.8596,0.026968717,3.03,
198007,6.49,3.93,-6.3,3.94,-2.46,0.53,3.6816,-2.2885,-0.5185,-3.3287,0.065038517,15.48,
198008,1.8,4.26,-2.64,2.1,-0.8,0.64,4.7395,0.6597,2.4955,1.4979,0.005835448,3.68,
198009,2.19,0.58,-4.79,2.03,-2.81,0.75,0.8408,-0.4912,5.1664,2.2821,0.025167528,2.01,
198010,1.06,2.33,-2.74,1.67,-1.22,0.95,1.174,0.4872,4.0221,2.6663,0.016021059,1.94,
198011,9.59,-3.4,-8.35,4.53,-5.74,0.96,-5.0212,-1.8913,9.0038,0.9803,0.102377053,9.8,
198012,-4.52,-0.31,2.68,-1.25,1.18,1.31,1.0713,0.9482,-1.3091,0.1308,-0.033874245,-1.17,
198101,-5.04,3.37,6.84,-3.54,4.35,1.04,3.7021,2.3986,-4.8819,0.6545,-0.045742429,-8.08,
198102,0.57,-0.49,0.97,0.19,2.25,1.07,-0.0201,1.8857,0.7112,1.6564,0.013276735,0.49,
198103,3.56,3.08,0.67,-2.34,-0.53,1.21,3.4804,-1.7376,-1.2846,-1.876,0.036032573,5.01,
198104,-2.11,4.6,2.26,0.82,1.2,1.08,4.1917,2.3693,1.313,1.1027,-0.023455897,0.15,
198105,0.11,2.45,-0.43,0.33,-1.6,1.15,2.47,-0.5126,-0.031,1.6439,-0.001656517,4.23,
198106,-2.36,-0.97,5.13,-1.35,2.68,1.35,-0.7648,2.7016,-0.0363,1.8918,-0.010407942,-6.66,
198107,-1.54,-1.97,-0.66,1.08,-3.04,1.24,-1.6107,-1.9616,3.1701,-0.5636,-0.002210266,-3.78,
198108,-7.04,-1.81,4.84,-0.25,1.46,1.28,-1.4078,1.2272,0.7274,2.2465,-0.06209897,-7.27,
198109,-7.17,-2.49,5.2,-0.02,2.79,1.24,-1.7177,3.5677,0.6074,3.9926,-0.053831753,-3.89,
198110,4.92,2.24,-4.21,3.29,-2.76,1.21,1.9587,-0.9324,4.8052,-0.9146,0.049147865,5.15,
198111,3.36,-1.38,1.9,0.1,0.63,1.07,-1.4241,0.5772,0.5384,1.9903,0.03659036,1.54,
198112,-3.65,1.19,0.74,0.19,2.41,0.87,1.2942,1.8902,-0.5258,1.3389,-0.030075149,-0.02,
198201,-3.24,-1.18,3.17,-1.52,2.08,0.8,-0.2856,1.9657,-1.4965,0.8404,-0.017543867,2.78,
198202,-5.86,0.37,6.1,-3.38,4.57,0.92,0.5385,4.692,0.2831,3.089,-0.06054818,-5.22,
198203,-1.87,0,3.78,-1.44,2.37,0.98,0.6576,1.8195,-1.7068,2.45,-0.010167112,-3.57,
198204,3.27,1.15,-2.78,1.51,-0.15,1.13,0.4602,1.2224,1.9119,0.6936,0.040014318,7.44,
198205,-3.99,0.56,1.81,0.91,-0.09,1.06,-0.4066,-0.5126,-0.4668,0.9558,-0.039161842,-5.42,
198206,-3.09,-0.51,1.54,0.03,2.72,0.96,1.1276,2.8363,0.1351,3.4196,-0.020289561,-2.33,
198207,-3.19,0.95,0.15,1.03,1.54,1.05,1.7298,2.0984,2.8115,3.8912,-0.022990648,1.56,
