Date,UNP
1983-08-31,4.738319000000001
1983-09-01,4.696294
1983-09-02,4.717306
1983-09-06,4.8118620000000005
1983-09-07,4.8749
1983-09-08,4.916925
1983-09-09,4.9274309999999995
1983-09-12,4.895913
1983-09-13,4.864394
1983-09-14,4.832875
1983-09-15,4.864394
1983-09-16,4.990469
1983-09-19,4.979962
1983-09-20,5.021987
1983-09-21,4.979962
1983-09-22,5.043
1983-09-23,5.043
1983-09-26,4.990469
1983-09-27,4.95895
1983-09-28,4.895913
1983-09-29,4.780344
1983-09-30,4.685788
1983-10-03,4.727812
1983-10-04,4.7593309999999995
1983-10-05,4.727812
1983-10-06,4.727812
1983-10-07,4.727812
1983-10-10,4.843381
1983-10-11,4.7068
1983-10-12,4.7068
1983-10-13,4.7068
1983-10-14,4.843381
1983-10-17,4.864394
1983-10-18,4.717306
1983-10-19,4.832875
1983-10-20,4.8538879999999995
1983-10-21,4.822369
1983-10-24,4.780344
1983-10-25,4.727812
1983-10-26,4.7068
1983-10-27,4.654269
1983-10-28,4.643763
1983-10-31,4.664775
1983-11-01,4.643763
1983-11-02,4.62275
1983-11-03,4.528194
1983-11-04,4.433637999999999
1983-11-07,4.423131
1983-11-08,4.4441440000000005
1983-11-09,4.475663
1983-11-10,4.486169
1983-11-11,4.486169
1983-11-14,4.486169
1983-11-15,4.496675
1983-11-16,4.486169
1983-11-17,4.423131
1983-11-18,4.339081
1983-11-21,4.360094
1983-11-22,4.28655
1983-11-23,4.2025
1983-11-25,4.223513
1983-11-28,4.223513
1983-11-29,4.170980999999999
1983-11-30,4.191994
1983-12-01,4.181488
1983-12-02,4.223513
1983-12-05,4.244525
1983-12-06,4.234019
1983-12-07,4.255031
1983-12-08,4.223513
1983-12-09,4.276044000000001
1983-12-12,4.276044000000001
1983-12-13,4.234019
1983-12-14,4.065919
1983-12-15,4.0344
1983-12-16,3.992375
1983-12-19,3.9293379999999996
1983-12-20,4.023894
1983-12-21,4.191994
1983-12-22,4.181488
1983-12-23,4.244525
1983-12-27,4.213006
1983-12-28,4.2025
1983-12-29,4.223513
1983-12-30,4.265537
1984-01-03,4.191994
1984-01-04,4.255031
1984-01-05,4.381106
1984-01-06,4.412625
1984-01-09,4.360094
1984-01-10,4.318069
1984-01-11,4.2970559999999995
1984-01-12,4.213006
1984-01-13,4.191994
1984-01-16,4.11845
1984-01-17,4.1499690000000005
1984-01-18,4.139462
1984-01-19,4.139462
1984-01-20,4.086931
1984-01-23,4.065919
1984-01-24,4.1499690000000005
1984-01-25,4.244525
1984-01-26,4.223513
1984-01-27,4.160475
1984-01-30,4.181488
1984-01-31,4.1499690000000005
1984-02-01,4.139462
1984-02-02,4.11845
1984-02-03,3.9608559999999997
1984-02-06,3.908325
1984-02-07,3.908325
1984-02-08,3.7717440000000004
1984-02-09,3.8347809999999996
1984-02-10,3.887312
1984-02-13,3.887312
1984-02-14,3.887312
1984-02-15,3.8663
1984-02-16,3.8557940000000004
1984-02-17,3.824275
1984-02-21,3.7717440000000004
1984-02-22,3.7507309999999996
1984-02-23,3.7717440000000004
1984-02-24,3.8557940000000004
1984-02-27,3.95035
1984-02-28,3.908325
1984-02-29,3.908325
1984-03-01,3.908325
1984-03-02,3.9398440000000003
1984-03-05,3.897819
1984-03-06,3.813769
1984-03-07,3.792756
1984-03-08,3.792756
1984-03-09,3.7297190000000002
1984-03-12,3.7507309999999996
1984-03-13,3.6982
1984-03-14,3.708706
1984-03-15,3.740225
1984-03-16,3.6982
1984-03-19,3.6771870000000004
1984-03-20,3.78225
1984-03-21,3.8557940000000004
1984-03-22,3.8347809999999996
1984-03-23,3.78225
1984-03-26,3.708706
1984-03-27,3.708706
1984-03-28,3.803262
1984-03-29,3.824275
1984-03-30,3.803262
1984-04-02,3.813769
1984-04-03,3.9293379999999996
1984-04-04,3.9713629999999998
