Date,SPG
1997-11-18,30.512703000000002
1997-11-19,30.280668
1997-11-20,30.280668
1997-11-21,30.280668
1997-11-24,30.454695
1997-11-25,29.932613
1997-11-26,30.222658000000003
1997-11-28,30.338676
1997-12-01,30.280668
1997-12-02,30.686728999999996
1997-12-03,30.628721000000002
1997-12-04,30.802747999999998
1997-12-05,31.208810999999997
1997-12-08,30.918765999999998
1997-12-09,30.686728999999996
1997-12-10,30.744740000000004
1997-12-11,30.686728999999996
1997-12-12,30.512703000000002
1997-12-15,29.932613
1997-12-16,29.874605
1997-12-17,29.990623
1997-12-18,30.744740000000004
1997-12-19,30.744740000000004
1997-12-22,30.280668
1997-12-23,29.700578999999998
1997-12-24,29.236506
1997-12-26,29.352524
1997-12-29,29.642569
1997-12-30,30.512703000000002
1997-12-31,30.338676
1998-01-02,30.280668
1998-01-05,30.686728999999996
1998-01-06,30.570711
1998-01-07,30.396684999999998
1998-01-08,30.338676
1998-01-09,29.816595
1998-01-12,29.642569
1998-01-13,29.468542
1998-01-14,30.048632
1998-01-15,30.570711
1998-01-16,29.990623
1998-01-20,30.222658000000003
1998-01-21,30.338676
1998-01-22,30.512703000000002
1998-01-23,30.570711
1998-01-26,30.512703000000002
1998-01-27,30.280668
1998-01-28,30.512703000000002
1998-01-29,30.570711
1998-01-30,30.802747999999998
1998-02-02,30.860756
1998-02-03,30.976774
1998-02-04,30.628721000000002
1998-02-05,30.570711
1998-02-06,30.628721000000002
1998-02-09,30.570711
1998-02-10,30.744740000000004
1998-02-11,30.802747999999998
1998-02-12,30.918765999999998
1998-02-13,30.860756
1998-02-17,30.628721000000002
1998-02-18,31.208810999999997
1998-02-19,30.16465
1998-02-20,29.932613
1998-02-23,29.410534000000002
1998-02-24,29.120489000000003
1998-02-25,29.120489000000003
1998-02-26,28.946463
1998-02-27,28.656418
1998-03-02,28.830444
1998-03-03,28.714426
1998-03-04,28.656418
1998-03-05,28.308363
1998-03-06,28.5404
1998-03-09,28.656418
1998-03-10,28.772434000000004
1998-03-11,28.714426
1998-03-12,29.468542
1998-03-13,29.932613
1998-03-16,29.468542
1998-03-17,29.700578999999998
1998-03-18,29.700578999999998
1998-03-19,29.700578999999998
1998-03-20,30.512703000000002
1998-03-23,30.338676
1998-03-24,30.338676
1998-03-25,31.208810999999997
1998-03-26,31.614874
1998-03-27,31.208810999999997
1998-03-30,31.440845
1998-03-31,31.7889
1998-04-01,31.614874
1998-04-02,31.962927
1998-04-03,31.904916999999998
1998-04-06,31.730890000000002
1998-04-07,31.962927
1998-04-08,31.440845
1998-04-09,31.846909000000004
1998-04-13,32.020934999999994
1998-04-14,31.672882
1998-04-15,31.614874
1998-04-16,31.556864
1998-04-17,31.150801
1998-04-20,30.918765999999998
1998-04-21,29.816595
1998-04-22,29.932613
1998-04-23,30.106640000000002
1998-04-24,30.396684999999998
1998-04-27,30.396684999999998
1998-04-28,30.048632
