Date,MGA
1988-11-30,2.59375
1988-12-01,2.5
1988-12-02,2.5
1988-12-05,2.46875
1988-12-06,2.46875
1988-12-07,2.46875
1988-12-08,2.53125
1988-12-09,2.5
1988-12-12,2.5
1988-12-13,2.5
1988-12-14,2.5
1988-12-15,2.46875
1988-12-16,2.5
1988-12-19,2.5
1988-12-20,2.5
1988-12-21,2.53125
1988-12-22,2.5
1988-12-23,2.53125
1988-12-27,2.5625
1988-12-28,2.625
1988-12-29,2.625
1988-12-30,2.625
1989-01-03,2.5625
1989-01-04,2.59375
1989-01-05,2.65625
1989-01-06,2.75
1989-01-09,2.875
1989-01-10,2.9375
1989-01-11,3.0
1989-01-12,3.125
1989-01-13,3.1875
1989-01-16,3.25
1989-01-17,3.15625
1989-01-18,3.09375
1989-01-19,3.125
1989-01-20,3.125
1989-01-23,3.09375
1989-01-24,3.125
1989-01-25,3.1875
1989-01-26,3.25
1989-01-27,3.34375
1989-01-30,3.3125
1989-01-31,3.1875
1989-02-01,3.125
1989-02-02,3.125
1989-02-03,3.1875
1989-02-06,3.21875
1989-02-07,3.21875
1989-02-08,3.1875
1989-02-09,3.0625
1989-02-10,3.0625
1989-02-13,3.0625
1989-02-14,3.09375
1989-02-15,3.15625
1989-02-16,3.1875
1989-02-17,3.15625
1989-02-21,3.125
1989-02-22,3.09375
1989-02-23,3.125
1989-02-24,3.0625
1989-02-27,3.0625
1989-02-28,3.03125
1989-03-01,3.0625
1989-03-02,3.09375
1989-03-03,3.125
1989-03-06,3.0625
1989-03-07,3.03125
1989-03-08,3.0
1989-03-09,3.0625
1989-03-10,3.03125
1989-03-13,2.96875
1989-03-14,2.84375
1989-03-15,2.84375
1989-03-16,2.875
1989-03-17,2.84375
1989-03-20,2.8125
1989-03-21,2.8125
1989-03-22,2.78125
1989-03-23,2.84375
1989-03-27,2.84375
1989-03-28,2.875
1989-03-29,2.84375
1989-03-30,2.875
1989-03-31,2.84375
1989-04-03,2.84375
1989-04-04,2.84375
1989-04-05,2.8125
1989-04-06,2.8125
1989-04-07,2.875
1989-04-10,2.875
1989-04-11,2.84375
1989-04-12,2.84375
1989-04-13,2.84375
1989-04-14,2.875
1989-04-17,2.84375
1989-04-18,2.8125
1989-04-19,2.75
1989-04-20,2.75
1989-04-21,2.75
1989-04-24,2.75
1989-04-25,2.71875
1989-04-26,2.71875
1989-04-27,2.65625
1989-04-28,2.625
1989-05-01,2.65625
1989-05-02,2.6875
1989-05-03,2.65625
1989-05-04,2.71875
1989-05-05,2.71875
1989-05-08,2.6875
1989-05-09,2.71875
1989-05-10,2.65625
1989-05-11,2.6875
1989-05-12,2.71875
1989-05-15,2.6875
1989-05-16,2.71875
1989-05-17,2.78125
1989-05-18,2.8125
1989-05-19,2.75
1989-05-22,2.75
1989-05-23,2.8125
1989-05-24,2.78125
1989-05-25,2.78125
1989-05-26,2.8125
1989-05-30,2.8125
1989-05-31,2.8125
1989-06-01,2.78125
1989-06-02,2.84375
1989-06-05,2.78125
1989-06-06,2.75
1989-06-07,2.8125
1989-06-08,2.84375
1989-06-09,2.78125
1989-06-12,2.8125
1989-06-13,2.8125
1989-06-14,2.8125
1989-06-15,2.84375
1989-06-16,2.84375
1989-06-19,2.84375
1989-06-20,2.8125
1989-06-21,2.8125
