Date,LORL
2015-01-28,72.360001
2015-01-29,73.0
2015-01-30,71.910004
2015-02-02,71.690002
2015-02-03,72.639999
2015-02-04,71.760002
2015-02-05,73.139999
2015-02-06,72.989998
2015-02-09,72.480003
2015-02-10,72.139999
2015-02-11,71.910004
2015-02-12,71.790001
2015-02-13,71.940002
2015-02-17,72.190002
2015-02-18,72.339996
2015-02-19,72.370003
2015-02-20,72.66999799999999
2015-02-23,72.620003
2015-02-24,71.410004
2015-02-25,71.75
2015-02-26,71.370003
2015-02-27,71.129997
2015-03-02,71.239998
2015-03-03,71.349998
2015-03-04,71.41999799999999
2015-03-05,71.709999
2015-03-06,71.68
2015-03-09,72.650002
2015-03-10,71.110001
2015-03-11,71.16999799999999
2015-03-12,72.290001
2015-03-13,69.400002
2015-03-16,69.300003
2015-03-17,69.0
2015-03-18,69.019997
2015-03-19,68.41999799999999
2015-03-20,67.110001
2015-03-23,68.839996
2015-03-24,68.400002
2015-03-25,66.089996
2015-03-26,68.410004
2015-03-27,68.43
2015-03-30,68.949997
2015-03-31,68.440002
2015-04-01,68.349998
2015-04-02,68.470001
2015-04-06,68.489998
2015-04-07,67.93
2015-04-08,68.720001
2015-04-09,68.940002
2015-04-10,69.599998
2015-04-13,69.870003
2015-04-14,69.879997
2015-04-15,69.779999
2015-04-16,70.019997
2015-04-17,69.139999
2015-04-20,69.709999
2015-04-21,69.720001
2015-04-22,69.709999
2015-04-23,69.639999
2015-04-24,69.449997
2015-04-27,69.529999
2015-04-28,69.389999
2015-04-29,69.5
2015-04-30,69.0
2015-05-01,69.050003
2015-05-04,69.519997
2015-05-05,68.720001
2015-05-06,68.08000200000001
2015-05-07,67.220001
2015-05-08,66.370003
2015-05-11,65.68
2015-05-12,65.32
2015-05-13,65.550003
2015-05-14,66.769997
2015-05-15,67.029999
2015-05-18,67.730003
2015-05-19,68.349998
2015-05-20,67.18
2015-05-21,67.440002
2015-05-22,67.25
2015-05-26,66.650002
2015-05-27,66.650002
2015-05-28,66.629997
2015-05-29,66.790001
2015-06-01,66.529999
2015-06-02,67.019997
2015-06-03,67.150002
2015-06-04,66.510002
2015-06-05,66.900002
2015-06-08,66.309998
2015-06-09,66.199997
2015-06-10,67.239998
2015-06-11,67.66999799999999
2015-06-12,67.239998
2015-06-15,66.5
2015-06-16,66.449997
2015-06-17,65.650002
2015-06-18,66.18
2015-06-19,65.82
2015-06-22,65.980003
2015-06-23,65.360001
2015-06-24,65.099998
2015-06-25,65.220001
2015-06-26,64.93
2015-06-29,63.060001
2015-06-30,63.119999
2015-07-01,63.880001
2015-07-02,65.540001
2015-07-06,65.07
2015-07-07,65.389999
2015-07-08,64.620003
2015-07-09,65.050003
2015-07-10,66.099998
2015-07-13,67.239998
2015-07-14,67.269997
2015-07-15,67.16999799999999
2015-07-16,67.57
2015-07-17,66.860001
2015-07-20,66.260002
2015-07-21,65.790001
2015-07-22,66.0
2015-07-23,64.709999
2015-07-24,64.32
2015-07-27,63.740002000000004
2015-07-28,64.040001
2015-07-29,64.339996
2015-07-30,63.75
2015-07-31,63.349998
2015-08-03,63.130001
2015-08-04,63.790001000000004
2015-08-05,62.84
2015-08-06,61.799999
2015-08-07,61.23
2015-08-10,62.349998
2015-08-11,61.599998
2015-08-12,61.509997999999996
2015-08-13,61.220001
2015-08-14,61.48
2015-08-17,61.779999
2015-08-18,62.02
2015-08-19,61.25
2015-08-20,58.400002
2015-08-21,56.189999
2015-08-24,53.330002
2015-08-25,53.25
2015-08-26,53.889998999999996
2015-08-27,54.700001
2015-08-28,55.360001000000004
2015-08-31,54.209998999999996
2015-09-01,53.18
2015-09-02,53.66
2015-09-03,54.119999
2015-09-04,53.689999
2015-09-08,54.549999
2015-09-09,52.950001
2015-09-10,52.080002
2015-09-11,52.669998
2015-09-14,52.07
2015-09-15,52.209998999999996
2015-09-16,52.849998
2015-09-17,53.580002
2015-09-18,52.169998
2015-09-21,52.5
2015-09-22,51.91
2015-09-23,51.75
2015-09-24,51.220001
2015-09-25,50.25
2015-09-28,48.150002
2015-09-29,46.57
2015-09-30,47.080002
2015-10-01,45.889998999999996
2015-10-02,47.209998999999996
2015-10-05,48.709998999999996
2015-10-06,47.970001
2015-10-07,49.439999
2015-10-08,50.84
2015-10-09,51.41
2015-10-12,50.720001
2015-10-13,49.110001000000004
2015-10-14,47.950001
2015-10-15,48.98
2015-10-16,47.959998999999996
2015-10-19,47.599998
2015-10-20,47.52
2015-10-21,45.950001
2015-10-22,46.759997999999996
2015-10-23,46.110001000000004
2015-10-26,44.830002
2015-10-27,43.389998999999996
2015-10-28,44.580002
2015-10-29,43.93
2015-10-30,44.709998999999996
2015-11-02,45.939999
2015-11-03,45.84
2015-11-04,45.259997999999996
2015-11-05,44.75
2015-11-06,44.549999
2015-11-09,44.630001
2015-11-10,45.549999
2015-11-11,45.049999
2015-11-12,44.470001
2015-11-13,43.849998
2015-11-16,44.279999
2015-11-17,43.139998999999996
2015-11-18,43.779999
2015-11-19,43.490002000000004
2015-11-20,43.759997999999996
2015-11-23,43.290001000000004
2015-11-24,43.610001000000004
2015-11-25,43.959998999999996
2015-11-27,45.18
2015-11-30,44.240002000000004
2015-12-01,43.599998
2015-12-02,42.970001
2015-12-03,42.669998
2015-12-04,42.970001
2015-12-07,41.34
2015-12-08,39.209998999999996
2015-12-09,39.41
2015-12-10,39.689999
2015-12-11,38.650002
2015-12-14,38.099998
2015-12-15,38.09
2015-12-16,38.470001
2015-12-17,38.759997999999996
2015-12-18,38.360001000000004
2015-12-21,38.52
2015-12-22,38.810001
2015-12-23,39.27
2015-12-24,39.77
2015-12-28,39.529999
2015-12-29,40.57
2015-12-30,40.169998
2015-12-31,40.709998999999996
2016-01-04,40.049999
2016-01-05,39.220001
2016-01-06,37.84
2016-01-07,37.0
2016-01-08,35.990002000000004
2016-01-11,35.669998
2016-01-12,35.720001
2016-01-13,34.25
2016-01-14,35.27
2016-01-15,35.150002
2016-01-19,34.549999
2016-01-20,33.189999
2016-01-21,33.490002000000004
2016-01-22,33.700001
2016-01-25,33.279999
2016-01-26,34.049999
2016-01-27,33.150002
2016-01-28,33.240002000000004
2016-01-29,34.549999
2016-02-01,33.779999
2016-02-02,33.139998999999996
2016-02-03,34.0
2016-02-04,33.09
2016-02-05,32.09
2016-02-08,31.889999
2016-02-09,30.620001000000002
2016-02-10,30.540001
2016-02-11,30.08
2016-02-12,30.450001
2016-02-16,30.84
2016-02-17,31.34
2016-02-18,31.299999
2016-02-19,31.49
2016-02-22,31.860001
2016-02-23,32.150002
2016-02-24,32.419998
2016-02-25,31.41
2016-02-26,31.389999
2016-02-29,32.060001
2016-03-01,32.009997999999996
2016-03-02,32.700001
2016-03-03,32.889998999999996
2016-03-04,34.150002
2016-03-07,36.82
2016-03-08,35.799999
2016-03-09,34.790001000000004
2016-03-10,34.470001
2016-03-11,37.18
2016-03-14,35.790001000000004
2016-03-15,34.349998
2016-03-16,35.029999
2016-03-17,36.349998
2016-03-18,37.189999
2016-03-21,36.48
2016-03-22,35.66
2016-03-23,34.299999
2016-03-24,35.490002000000004
2016-03-28,35.16
2016-03-29,36.470001
2016-03-30,35.490002000000004
2016-03-31,35.130001
2016-04-01,35.970001
2016-04-04,35.869999
2016-04-05,35.970001
2016-04-06,36.040001000000004
2016-04-07,34.720001
2016-04-08,34.299999
2016-04-11,33.959998999999996
2016-04-12,34.0
2016-04-13,34.0
2016-04-14,33.560001
2016-04-15,34.119999
2016-04-18,34.27
2016-04-19,34.650002
2016-04-20,34.529999
2016-04-21,35.110001000000004
2016-04-22,37.09
2016-04-25,36.509997999999996
2016-04-26,37.369999
