Date,IPXL
2016-11-02,20.5
2016-11-03,16.5
2016-11-04,17.75
2016-11-07,17.85
2016-11-08,17.6
2016-11-09,14.0
2016-11-10,14.35
2016-11-11,15.0
2016-11-14,14.5
2016-11-15,14.3
2016-11-16,14.15
2016-11-17,14.75
2016-11-18,14.5
2016-11-21,14.25
2016-11-22,13.75
2016-11-23,14.45
2016-11-25,15.1
2016-11-28,15.1
2016-11-29,14.75
2016-11-30,14.45
2016-12-01,13.75
2016-12-02,13.65
2016-12-05,13.4
2016-12-06,12.95
2016-12-07,12.95
2016-12-08,13.25
2016-12-09,13.4
2016-12-12,12.95
2016-12-13,13.2
2016-12-14,12.75
2016-12-15,13.3
2016-12-16,13.45
2016-12-19,13.05
2016-12-20,13.525
2016-12-21,13.75
2016-12-22,13.55
2016-12-23,13.8
2016-12-27,13.25
2016-12-28,12.75
