Date,SNI
2016-05-09,65.08000200000001
2016-05-10,66.449997
2016-05-11,66.25
2016-05-12,64.809998
2016-05-13,64.66999799999999
2016-05-16,64.260002
2016-05-17,64.489998
2016-05-18,62.279999
2016-05-19,61.959998999999996
2016-05-20,62.09
2016-05-23,61.790001000000004
2016-05-24,63.040001000000004
2016-05-25,62.880001
2016-05-26,62.669998
2016-05-27,63.619999
2016-05-31,64.339996
2016-06-01,64.519997
2016-06-02,65.370003
2016-06-03,65.43
2016-06-06,65.57
2016-06-07,64.839996
2016-06-08,64.879997
2016-06-09,64.860001
2016-06-10,63.959998999999996
2016-06-13,62.889998999999996
2016-06-14,62.950001
2016-06-15,64.199997
2016-06-16,64.480003
2016-06-17,63.970001
2016-06-20,65.089996
2016-06-21,63.209998999999996
2016-06-22,63.419998
2016-06-23,62.189999
2016-06-24,60.130001
2016-06-27,59.41
2016-06-28,60.16
2016-06-29,60.970001
2016-06-30,62.27
2016-07-01,62.779999
2016-07-05,61.740002000000004
2016-07-06,62.259997999999996
2016-07-07,63.25
2016-07-08,64.410004
2016-07-11,65.629997
2016-07-12,66.209999
2016-07-13,66.08000200000001
2016-07-14,66.75
2016-07-15,66.110001
2016-07-18,65.83000200000001
2016-07-19,65.889999
2016-07-20,66.629997
2016-07-21,66.779999
2016-07-22,66.870003
2016-07-25,66.010002
2016-07-26,66.870003
2016-07-27,67.110001
2016-07-28,67.059998
2016-07-29,66.059998
2016-08-01,65.800003
2016-08-02,66.519997
2016-08-03,67.199997
2016-08-04,66.550003
2016-08-05,66.150002
2016-08-08,66.16999799999999
2016-08-09,61.470001
2016-08-10,62.110001000000004
2016-08-11,63.5
2016-08-12,63.27
2016-08-15,64.08000200000001
2016-08-16,63.77
2016-08-17,64.209999
2016-08-18,64.370003
2016-08-19,64.41999799999999
2016-08-22,64.040001
2016-08-23,64.449997
2016-08-24,64.599998
2016-08-25,64.08000200000001
2016-08-26,63.369999
2016-08-29,63.59
2016-08-30,63.32
2016-08-31,63.369999
2016-09-01,63.580002
2016-09-02,63.830002
2016-09-06,63.18
2016-09-07,63.330002
2016-09-08,63.529999
2016-09-09,61.830002
2016-09-12,62.880001
2016-09-13,61.380001
2016-09-14,61.5
2016-09-15,62.139998999999996
2016-09-16,59.880001
2016-09-19,60.110001000000004
2016-09-20,59.669998
2016-09-21,59.82
2016-09-22,61.509997999999996
2016-09-23,61.639998999999996
2016-09-26,62.099998
2016-09-27,62.0
2016-09-28,62.630001
2016-09-29,63.939999
2016-09-30,63.490002000000004
2016-10-03,64.120003
2016-10-04,63.599998
2016-10-05,63.779999
2016-10-06,63.5
2016-10-07,62.380001
2016-10-10,62.27
2016-10-11,62.139998999999996
2016-10-12,62.18
2016-10-13,61.77
2016-10-14,61.279999
2016-10-17,61.5
2016-10-18,61.689999
2016-10-19,61.889998999999996
2016-10-20,62.509997999999996
2016-10-21,65.989998
2016-10-24,66.099998
2016-10-25,65.190002
2016-10-26,65.889999
2016-10-27,63.740002000000004
2016-10-28,63.560001
2016-10-31,64.360001
2016-11-01,63.990002000000004
2016-11-02,63.540001000000004
2016-11-03,64.739998
2016-11-04,64.839996
2016-11-07,65.43
2016-11-08,65.199997
2016-11-09,65.5
2016-11-10,67.010002
2016-11-11,68.470001
2016-11-14,73.699997
2016-11-15,70.629997
2016-11-16,71.66999799999999
2016-11-17,71.190002
2016-11-18,69.650002
2016-11-21,69.470001
2016-11-22,69.33000200000001
2016-11-23,70.139999
2016-11-25,70.5
2016-11-28,69.019997
2016-11-29,70.059998
2016-11-30,69.260002
2016-12-01,69.690002
2016-12-02,68.470001
2016-12-05,69.199997
2016-12-06,70.360001
2016-12-07,72.16999799999999
2016-12-08,72.940002
2016-12-09,71.720001
2016-12-12,70.41999799999999
2016-12-13,71.220001
2016-12-14,71.540001
2016-12-15,70.459999
2016-12-16,70.300003
2016-12-19,70.75
2016-12-20,72.68
2016-12-21,72.129997
2016-12-22,72.599998
2016-12-23,72.510002
2016-12-27,72.730003
2016-12-28,72.029999
2016-12-29,71.790001
2016-12-30,71.370003
2017-01-03,72.370003
2017-01-04,74.489998
