Date,ALLE
2017-07-18,80.599998
2017-07-19,80.699997
2017-07-20,81.089996
2017-07-21,80.410004
2017-07-24,80.309998
2017-07-25,79.099998
2017-07-26,78.489998
2017-07-27,81.199997
2017-07-28,81.400002
2017-07-31,81.239998
2017-08-01,81.470001
2017-08-02,80.849998
2017-08-03,80.760002
2017-08-04,81.32
2017-08-07,81.989998
2017-08-08,81.370003
2017-08-09,80.589996
2017-08-10,78.91999799999999
2017-08-11,79.279999
2017-08-14,79.470001
2017-08-15,78.949997
2017-08-16,79.290001
2017-08-17,78.83000200000001
2017-08-18,78.16999799999999
2017-08-21,77.480003
2017-08-22,78.08000200000001
2017-08-23,77.089996
2017-08-24,77.150002
2017-08-25,77.620003
2017-08-28,78.050003
2017-08-29,77.769997
2017-08-30,78.300003
2017-08-31,78.709999
2017-09-01,79.150002
2017-09-05,79.400002
2017-09-06,80.260002
2017-09-07,80.220001
2017-09-08,80.809998
2017-09-11,81.07
2017-09-12,81.0
2017-09-13,81.809998
2017-09-14,82.620003
2017-09-15,82.769997
2017-09-18,82.650002
2017-09-19,82.849998
2017-09-20,83.57
2017-09-21,83.470001
2017-09-22,84.550003
2017-09-25,84.5
2017-09-26,85.349998
2017-09-27,85.33000200000001
2017-09-28,85.760002
2017-09-29,86.470001
2017-10-02,86.529999
2017-10-03,87.470001
2017-10-04,86.730003
2017-10-05,87.07
2017-10-06,87.190002
2017-10-09,87.620003
2017-10-10,87.809998
2017-10-11,88.150002
2017-10-12,89.559998
2017-10-13,88.300003
2017-10-16,88.139999
2017-10-17,87.0
2017-10-18,87.599998
2017-10-19,87.739998
2017-10-20,88.019997
2017-10-23,87.309998
2017-10-24,88.480003
2017-10-25,86.489998
2017-10-26,80.699997
2017-10-27,80.290001
2017-10-30,81.970001
2017-10-31,83.389999
2017-11-01,82.730003
2017-11-02,82.230003
2017-11-03,82.019997
2017-11-06,83.089996
2017-11-07,83.529999
2017-11-08,83.43
2017-11-09,82.08000200000001
2017-11-10,83.129997
2017-11-13,83.940002
2017-11-14,82.900002
2017-11-15,82.029999
2017-11-16,82.410004
2017-11-17,82.650002
2017-11-20,83.239998
2017-11-21,83.400002
2017-11-22,83.160004
2017-11-24,82.91999799999999
2017-11-27,83.099998
2017-11-28,83.33000200000001
2017-11-29,82.940002
2017-11-30,84.139999
2017-12-01,84.58000200000001
2017-12-04,83.43
2017-12-05,82.0
2017-12-06,81.790001
2017-12-07,83.110001
2017-12-08,82.459999
2017-12-11,82.16999799999999
2017-12-12,82.150002
2017-12-13,82.639999
2017-12-14,81.68
2017-12-15,82.279999
2017-12-18,82.559998
2017-12-19,80.07
2017-12-20,81.0
2017-12-21,81.0
2017-12-22,80.339996
2017-12-26,80.389999
2017-12-27,80.0
2017-12-28,79.559998
2017-12-29,79.559998
2018-01-02,79.910004
2018-01-03,80.25
2018-01-04,81.370003
2018-01-05,81.57
2018-01-08,81.239998
2018-01-09,82.93
2018-01-10,82.599998
2018-01-11,84.379997
2018-01-12,85.040001
2018-01-16,84.07
2018-01-17,84.209999
2018-01-18,84.050003
2018-01-19,86.230003
2018-01-22,85.800003
2018-01-23,85.349998
2018-01-24,85.58000200000001
2018-01-25,85.349998
2018-01-26,86.370003
2018-01-29,86.68
2018-01-30,85.440002
2018-01-31,86.110001
2018-02-01,85.16999799999999
2018-02-02,81.849998
2018-02-05,79.110001
2018-02-06,80.110001
2018-02-07,79.959999
2018-02-08,77.32
2018-02-09,78.489998
2018-02-12,79.75
2018-02-13,79.650002
2018-02-14,79.970001
2018-02-15,82.260002
2018-02-16,82.720001
2018-02-20,85.660004
2018-02-21,86.720001
2018-02-22,86.040001
2018-02-23,86.16999799999999
2018-02-26,87.849998
2018-02-27,86.970001
2018-02-28,84.110001
2018-03-01,82.07
2018-03-02,82.230003
2018-03-05,83.010002
2018-03-06,83.91999799999999
2018-03-07,83.93
2018-03-08,84.760002
2018-03-09,87.209999
2018-03-12,87.400002
2018-03-13,86.089996
2018-03-14,85.360001
2018-03-15,85.480003
2018-03-16,85.879997
2018-03-19,85.25
2018-03-20,85.629997
2018-03-21,85.940002
2018-03-22,84.599998
2018-03-23,82.959999
2018-03-26,84.559998
2018-03-27,84.0
2018-03-28,83.129997
2018-03-29,85.290001
2018-04-02,83.239998
2018-04-03,84.589996
2018-04-04,85.739998
2018-04-05,85.940002
2018-04-06,84.75
2018-04-09,84.540001
2018-04-10,85.230003
2018-04-11,84.540001
2018-04-12,85.309998
2018-04-13,84.559998
2018-04-16,85.370003
2018-04-17,85.620003
2018-04-18,86.5
2018-04-19,85.389999
2018-04-20,84.75
2018-04-23,84.519997
2018-04-24,82.150002
2018-04-25,83.029999
2018-04-26,78.589996
2018-04-27,77.83000200000001
2018-04-30,77.18
2018-05-01,77.139999
2018-05-02,75.120003
2018-05-03,74.82
2018-05-04,76.150002
2018-05-07,75.739998
2018-05-08,75.889999
2018-05-09,76.279999
2018-05-10,77.309998
2018-05-11,77.279999
2018-05-14,76.849998
2018-05-15,76.459999
2018-05-16,77.019997
2018-05-17,76.870003
2018-05-18,78.370003
2018-05-21,78.779999
2018-05-22,78.66999799999999
2018-05-23,79.220001
