Date,DLR
2013-10-21,56.240002000000004
2013-10-22,56.220001
2013-10-23,56.369999
2013-10-24,57.299999
2013-10-25,57.91
2013-10-28,58.25
2013-10-29,58.029999
2013-10-30,49.169998
2013-10-31,47.66
2013-11-01,48.5
2013-11-04,47.900002
2013-11-05,47.91
2013-11-06,47.25
2013-11-07,46.630001
2013-11-08,45.810001
2013-11-11,46.400002
2013-11-12,46.380001
2013-11-13,46.290001000000004
2013-11-14,47.119999
2013-11-15,47.970001
2013-11-18,48.169998
2013-11-19,47.299999
2013-11-20,47.029999
2013-11-21,47.540001000000004
2013-11-22,46.919998
2013-11-25,46.669998
2013-11-26,46.560001
2013-11-27,47.23
2013-11-29,47.240002000000004
2013-12-02,45.93
2013-12-03,44.529999
2013-12-04,45.0
2013-12-05,46.290001000000004
2013-12-06,46.009997999999996
2013-12-09,45.630001
2013-12-10,46.740002000000004
2013-12-11,45.48
2013-12-12,44.619999
2013-12-13,44.639998999999996
2013-12-16,44.889998999999996
2013-12-17,46.16
2013-12-18,46.490002000000004
2013-12-19,46.290001000000004
2013-12-20,47.41
2013-12-23,48.5
2013-12-24,49.099998
2013-12-26,49.099998
2013-12-27,49.099998
2013-12-30,48.959998999999996
2013-12-31,49.119999
2014-01-02,49.470001
2014-01-03,49.830002
2014-01-06,49.73
2014-01-07,49.860001000000004
2014-01-08,49.48
2014-01-09,49.700001
2014-01-10,50.0
2014-01-13,50.209998999999996
2014-01-14,51.200001
2014-01-15,52.509997999999996
2014-01-16,52.830002
2014-01-17,51.77
2014-01-21,53.029999
2014-01-22,52.259997999999996
2014-01-23,52.450001
2014-01-24,52.349998
2014-01-27,51.509997999999996
2014-01-28,52.119999
2014-01-29,50.299999
2014-01-30,49.950001
2014-01-31,50.990002000000004
2014-02-03,50.110001000000004
2014-02-04,51.849998
2014-02-05,51.93
2014-02-06,51.450001
2014-02-07,51.860001000000004
2014-02-10,52.860001000000004
2014-02-11,52.110001000000004
2014-02-12,52.91
2014-02-13,53.57
2014-02-14,53.389998999999996
2014-02-18,53.52
2014-02-19,52.639998999999996
2014-02-20,52.09
2014-02-21,53.48
2014-02-24,54.139998999999996
2014-02-25,53.549999
2014-02-26,53.59
2014-02-27,53.709998999999996
2014-02-28,54.16
2014-03-03,54.349998
2014-03-04,54.939999
2014-03-05,54.759997999999996
2014-03-06,54.299999
2014-03-07,52.360001000000004
2014-03-10,52.389998999999996
2014-03-11,53.25
2014-03-12,52.66
2014-03-13,51.279999
2014-03-14,51.509997999999996
2014-03-17,52.77
2014-03-18,51.91
