Date,BPOP
1983-12-01,4.9583330000000005
1983-12-02,4.9583330000000005
1983-12-05,4.9583330000000005
1983-12-06,4.9166669999999995
1983-12-07,4.9166669999999995
1983-12-08,4.9166669999999995
1983-12-09,5.0833330000000005
1983-12-12,5.0833330000000005
1983-12-13,5.0833330000000005
1983-12-14,5.0833330000000005
1983-12-15,5.0833330000000005
1983-12-16,5.0833330000000005
1983-12-19,5.0833330000000005
1983-12-20,5.0833330000000005
1983-12-21,5.0833330000000005
1983-12-22,5.0
1983-12-23,5.0
1983-12-27,5.0
1983-12-28,4.8333330000000005
1983-12-29,4.8333330000000005
1983-12-30,4.8333330000000005
1984-01-03,4.8333330000000005
1984-01-04,4.8333330000000005
1984-01-05,4.9166669999999995
1984-01-06,4.9166669999999995
1984-01-09,4.9166669999999995
1984-01-10,4.9166669999999995
1984-01-11,4.9166669999999995
1984-01-12,4.9166669999999995
1984-01-13,4.9166669999999995
1984-01-16,5.0
1984-01-17,5.3333330000000005
1984-01-18,5.25
1984-01-19,5.25
1984-01-20,5.25
1984-01-23,5.3333330000000005
1984-01-24,5.3333330000000005
1984-01-25,5.3333330000000005
1984-01-26,5.3333330000000005
1984-01-27,5.25
1984-01-30,5.25
1984-01-31,5.1666669999999995
1984-02-01,5.1666669999999995
1984-02-02,5.1666669999999995
1984-02-03,5.0833330000000005
1984-02-06,5.0833330000000005
1984-02-07,5.1666669999999995
1984-02-08,5.1666669999999995
1984-02-09,5.0833330000000005
1984-02-10,5.1666669999999995
1984-02-13,5.1666669999999995
1984-02-14,5.0833330000000005
1984-02-15,5.0
1984-02-16,5.0
1984-02-17,5.0
1984-02-21,5.0
1984-02-22,5.0
1984-02-23,5.0
1984-02-24,5.0
1984-02-27,5.0
1984-02-28,5.0
1984-02-29,5.0
1984-03-01,5.0
1984-03-02,5.0
1984-03-05,5.0
1984-03-06,5.0
1984-03-07,5.0
1984-03-08,5.0
1984-03-09,4.9166669999999995
1984-03-12,4.9166669999999995
1984-03-13,4.9166669999999995
1984-03-14,4.9166669999999995
1984-03-15,4.9166669999999995
1984-03-16,4.9166669999999995
1984-03-19,4.9166669999999995
1984-03-20,4.9166669999999995
1984-03-21,4.9166669999999995
1984-03-22,5.0
1984-03-23,5.0
1984-03-26,5.0
1984-03-27,4.9166669999999995
1984-03-28,4.9166669999999995
1984-03-29,4.9166669999999995
1984-03-30,4.9166669999999995
1984-04-02,4.9166669999999995
1984-04-03,4.9166669999999995
1984-04-04,4.9166669999999995
1984-04-05,4.9166669999999995
1984-04-06,4.9166669999999995
1984-04-09,4.9166669999999995
1984-04-10,4.9166669999999995
1984-04-11,4.9166669999999995
1984-04-12,4.9166669999999995
1984-04-13,4.9166669999999995
1984-04-16,4.9166669999999995
1984-04-17,4.9166669999999995
1984-04-18,4.9166669999999995
1984-04-19,4.9166669999999995
1984-04-23,4.9166669999999995
1984-04-24,4.9166669999999995
1984-04-25,4.9166669999999995
1984-04-26,4.9166669999999995
1984-04-27,4.9166669999999995
1984-04-30,4.9166669999999995
1984-05-01,4.9166669999999995
1984-05-02,5.0
1984-05-03,5.0
1984-05-04,5.1666669999999995
1984-05-07,5.1666669999999995
1984-05-08,5.25
1984-05-09,5.1666669999999995
1984-05-10,5.1666669999999995
1984-05-11,5.0833330000000005
1984-05-14,5.0833330000000005
1984-05-15,5.0
1984-05-16,5.0
1984-05-17,5.0
1984-05-18,5.0
1984-05-21,5.0
1984-05-22,5.0
1984-05-23,5.0
1984-05-24,4.9166669999999995
1984-05-25,4.9166669999999995
1984-05-29,4.9166669999999995
1984-05-30,4.8333330000000005
1984-05-31,4.8333330000000005
1984-06-01,4.8333330000000005
1984-06-04,4.75
1984-06-05,4.75
1984-06-06,4.6666669999999995
1984-06-07,4.5
1984-06-08,4.5
1984-06-11,4.5
1984-06-12,4.5
1984-06-13,4.5
1984-06-14,4.4166669999999995
1984-06-15,4.4166669999999995
1984-06-18,4.5
1984-06-19,4.5
1984-06-20,4.5
1984-06-21,4.5
1984-06-22,4.5
1984-06-25,4.5
1984-06-26,4.5
1984-06-27,4.5
1984-06-28,4.5
1984-06-29,4.5
1984-07-02,4.5
1984-07-03,4.5
1984-07-05,4.5
1984-07-06,4.5
1984-07-09,4.5833330000000005
1984-07-10,4.5833330000000005
1984-07-11,4.5833330000000005
1984-07-12,4.6666669999999995
1984-07-13,4.6666669999999995
1984-07-16,4.6666669999999995
1984-07-17,4.6666669999999995
1984-07-18,4.6666669999999995
1984-07-19,4.6666669999999995
1984-07-20,4.75
1984-07-23,4.6666669999999995
1984-07-24,4.6666669999999995
1984-07-25,4.6666669999999995
1984-07-26,4.6666669999999995
