Date,PANW
2015-12-31,176.139999
2016-01-04,171.520004
2016-01-05,170.559998
2016-01-06,167.309998
2016-01-07,164.080002
2016-01-08,162.740005
2016-01-11,162.020004
2016-01-12,161.389999
2016-01-13,154.0
2016-01-14,159.119995
2016-01-15,154.820007
2016-01-19,149.240005
2016-01-20,146.899994
2016-01-21,144.600006
2016-01-22,148.5
2016-01-25,146.570007
2016-01-26,148.270004
2016-01-27,146.350006
2016-01-28,139.779999
2016-01-29,149.490005
2016-02-01,150.550003
2016-02-02,146.029999
2016-02-03,144.75
2016-02-04,145.28999299999998
2016-02-05,127.510002
2016-02-08,115.690002
2016-02-09,118.059998
2016-02-10,120.41999799999999
2016-02-11,124.370003
2016-02-12,123.739998
2016-02-16,127.739998
2016-02-17,132.669998
2016-02-18,123.059998
2016-02-19,127.160004
2016-02-22,130.139999
2016-02-23,127.510002
2016-02-24,127.940002
2016-02-25,140.28999299999998
2016-02-26,147.58999599999999
2016-02-29,144.78999299999998
2016-03-01,148.639999
2016-03-02,148.119995
2016-03-03,152.020004
2016-03-04,150.970001
2016-03-07,154.440002
2016-03-08,152.630005
2016-03-09,153.149994
2016-03-10,150.75
2016-03-11,157.820007
2016-03-14,154.970001
2016-03-15,153.330002
2016-03-16,154.71000700000002
2016-03-17,153.690002
2016-03-18,155.729996
2016-03-21,154.899994
2016-03-22,158.429993
2016-03-23,154.990005
2016-03-24,155.729996
2016-03-28,156.190002
2016-03-29,159.300003
2016-03-30,161.990005
2016-03-31,163.139999
2016-04-01,161.119995
2016-04-04,161.58999599999999
2016-04-05,151.919998
2016-04-06,158.220001
2016-04-07,149.600006
2016-04-08,147.850006
2016-04-11,140.440002
2016-04-12,139.03999299999998
2016-04-13,142.080002
2016-04-14,140.71000700000002
2016-04-15,140.66000400000001
2016-04-18,141.53999299999998
2016-04-19,140.279999
2016-04-20,140.309998
2016-04-21,146.449997
2016-04-22,148.520004
2016-04-25,150.509995
2016-04-26,150.800003
2016-04-27,156.009995
2016-04-28,151.440002
2016-04-29,150.869995
2016-05-02,151.880005
2016-05-03,147.009995
2016-05-04,142.070007
2016-05-05,140.690002
2016-05-06,136.139999
2016-05-09,139.25
2016-05-10,140.440002
2016-05-11,139.490005
2016-05-12,129.529999
2016-05-13,130.970001
2016-05-16,134.740005
2016-05-17,134.070007
2016-05-18,136.75
2016-05-19,139.21000700000002
2016-05-20,141.759995
2016-05-23,143.970001
2016-05-24,146.110001
2016-05-25,145.690002
2016-05-26,148.179993
2016-05-27,129.860001
2016-05-31,130.46000700000002
2016-06-01,134.470001
2016-06-02,140.729996
2016-06-03,139.639999
2016-06-06,139.600006
2016-06-07,137.259995
2016-06-08,136.970001
2016-06-09,134.83999599999999
2016-06-10,131.259995
2016-06-13,131.71000700000002
2016-06-14,130.240005
2016-06-15,131.070007
2016-06-16,129.96000700000002
2016-06-17,128.300003
2016-06-20,128.16000400000001
2016-06-21,126.870003
2016-06-22,124.550003
2016-06-23,126.650002
2016-06-24,121.779999
2016-06-27,116.760002
2016-06-28,118.41999799999999
2016-06-29,123.199997
2016-06-30,122.639999
2016-07-01,121.07
2016-07-05,118.879997
2016-07-06,119.970001
2016-07-07,121.629997
2016-07-08,125.940002
2016-07-11,128.020004
2016-07-12,126.889999
2016-07-13,127.339996
2016-07-14,124.629997
2016-07-15,123.66999799999999
2016-07-18,124.029999
2016-07-19,125.459999
2016-07-20,129.509995
2016-07-21,126.599998
2016-07-22,129.490005
2016-07-25,131.520004
2016-07-26,132.96000700000002
2016-07-27,131.070007
2016-07-28,132.669998
2016-07-29,130.889999
2016-08-01,128.479996
2016-08-02,128.389999
2016-08-03,129.610001
2016-08-04,131.440002
2016-08-05,131.779999
2016-08-08,128.399994
2016-08-09,130.83999599999999
2016-08-10,125.07
2016-08-11,125.470001
2016-08-12,127.18
2016-08-15,131.0
2016-08-16,135.600006
2016-08-17,136.100006
2016-08-18,137.08999599999999
2016-08-19,136.740005
2016-08-22,137.53999299999998
2016-08-23,142.110001
2016-08-24,140.369995
2016-08-25,140.389999
2016-08-26,140.679993
2016-08-29,141.490005
2016-08-30,143.449997
2016-08-31,133.169998
2016-09-01,140.66000400000001
2016-09-02,145.179993
2016-09-06,144.970001
2016-09-07,147.330002
2016-09-08,146.979996
2016-09-09,144.41000400000001
2016-09-12,147.149994
2016-09-13,147.059998
2016-09-14,148.330002
2016-09-15,148.490005
2016-09-16,149.100006
2016-09-19,150.740005
2016-09-20,150.070007
2016-09-21,149.619995
2016-09-22,152.580002
2016-09-23,151.220001
2016-09-26,149.83999599999999
2016-09-27,151.899994
2016-09-28,154.559998
2016-09-29,156.080002
2016-09-30,159.330002
2016-10-03,159.080002
2016-10-04,160.020004
2016-10-05,161.350006
2016-10-06,159.600006
2016-10-07,159.919998
2016-10-10,159.740005
2016-10-11,155.479996
2016-10-12,154.220001
2016-10-13,151.360001
2016-10-14,150.490005
2016-10-17,146.0
2016-10-18,148.46000700000002
2016-10-19,148.16000400000001
2016-10-20,148.53999299999998
2016-10-21,150.169998
2016-10-24,151.529999
2016-10-25,149.820007
2016-10-26,151.449997
2016-10-27,149.649994
2016-10-28,151.58999599999999
2016-10-31,153.830002
2016-11-01,151.809998
2016-11-02,146.820007
2016-11-03,145.600006
2016-11-04,148.0
2016-11-07,152.429993
2016-11-08,152.929993
2016-11-09,159.020004
2016-11-10,151.91000400000001
2016-11-11,156.009995
2016-11-14,156.449997
2016-11-15,159.449997
2016-11-16,160.429993
2016-11-17,164.149994
2016-11-18,161.350006
2016-11-21,161.059998
2016-11-22,139.729996
2016-11-23,139.690002
2016-11-25,141.509995
2016-11-28,136.259995
2016-11-29,133.580002
2016-11-30,134.369995
2016-12-01,129.619995
2016-12-02,126.660004
2016-12-05,128.949997
2016-12-06,129.350006
2016-12-07,129.369995
2016-12-08,130.639999
2016-12-09,130.070007
2016-12-12,127.790001
2016-12-13,129.240005
2016-12-14,128.21000700000002
2016-12-15,129.009995
2016-12-16,129.320007
2016-12-19,128.440002
2016-12-20,126.32
2016-12-21,126.110001
2016-12-22,125.059998
2016-12-23,127.400002
2016-12-27,127.089996
2016-12-28,124.970001
2016-12-29,125.129997
2016-12-30,125.050003
2017-01-03,126.940002
2017-01-04,128.0
2017-01-05,131.970001
2017-01-06,135.050003
2017-01-09,133.720001
2017-01-10,134.679993
2017-01-11,137.5
2017-01-12,136.360001
2017-01-13,138.479996
2017-01-17,138.449997
2017-01-18,138.759995
2017-01-19,141.919998
2017-01-20,142.110001
2017-01-23,140.83999599999999
2017-01-24,143.979996
