Date,THS
2009-08-28,37.529999
2009-08-31,37.049999
2009-09-01,36.860001000000004
2009-09-02,36.5
2009-09-03,36.07
2009-09-04,36.240002000000004
2009-09-08,37.02
2009-09-09,36.939999
2009-09-10,37.0
2009-09-11,37.009997999999996
2009-09-14,37.450001
2009-09-15,37.040001000000004
2009-09-16,36.700001
2009-09-17,35.869999
2009-09-18,35.610001000000004
2009-09-21,35.5
2009-09-22,35.169998
2009-09-23,35.25
2009-09-24,35.0
2009-09-25,35.23
2009-09-28,35.619999
2009-09-29,35.650002
2009-09-30,35.669998
2009-10-01,34.889998999999996
2009-10-02,34.830002
2009-10-05,34.939999
2009-10-06,35.439999
2009-10-07,35.34
2009-10-08,35.360001000000004
2009-10-09,35.439999
2009-10-12,35.419998
2009-10-13,35.290001000000004
2009-10-14,35.360001000000004
2009-10-15,35.77
2009-10-16,35.349998
2009-10-19,35.82
2009-10-20,35.34
2009-10-21,35.240002000000004
2009-10-22,35.330002
2009-10-23,35.68
2009-10-26,35.889998999999996
2009-10-27,36.700001
2009-10-28,36.700001
2009-10-29,37.549999
2009-10-30,37.400002
2009-11-02,37.509997999999996
2009-11-03,37.799999
2009-11-04,36.34
2009-11-05,36.330002
2009-11-06,36.200001
2009-11-09,36.209998999999996
2009-11-10,36.150002
2009-11-11,36.32
2009-11-12,35.77
2009-11-13,35.700001
2009-11-16,36.799999
2009-11-17,36.310001
2009-11-18,36.110001000000004
2009-11-19,35.540001000000004
2009-11-20,35.43
2009-11-23,36.029999
2009-11-24,36.0
2009-11-25,35.200001
2009-11-27,34.75
2009-11-30,34.869999
2009-12-01,34.990002000000004
2009-12-02,35.5
2009-12-03,34.57
2009-12-04,35.16
2009-12-07,34.48
2009-12-08,34.5
2009-12-09,34.330002
2009-12-10,33.950001
2009-12-11,34.09
2009-12-14,34.23
2009-12-15,33.790001000000004
2009-12-16,34.080002
2009-12-17,33.490002000000004
2009-12-18,33.560001
2009-12-21,37.700001
2009-12-22,37.799999
2009-12-23,38.93
2009-12-24,39.259997999999996
2009-12-28,39.73
2009-12-29,40.150002
2009-12-30,39.43
2009-12-31,38.860001000000004
