,Date,Close,retrun
439,1964-07-01,83.18,-0.17828
440,1964-08-01,81.83000200000001,0.40461
441,1964-09-01,84.18,0.10136
442,1964-10-01,84.860001,-0.06048
443,1964-11-01,84.41999799999999,0.04793
444,1964-12-01,84.75,0.47908
445,1965-01-01,87.559998,-0.01767
446,1965-02-01,87.43,-0.16104
447,1965-03-01,86.160004,0.49778
448,1965-04-01,89.110001,-0.08906
449,1965-05-01,88.41999799999999,-0.45022
450,1965-06-01,84.120003,0.17366
451,1965-07-01,85.25,0.30639
452,1965-08-01,87.16999799999999,0.45945
453,1965-09-01,89.959999,0.38229
454,1965-10-01,92.41999799999999,-0.10025
455,1965-11-01,91.610001,0.11286
456,1965-12-01,92.43,0.06001
457,1966-01-01,92.879997,-0.19459
458,1966-02-01,91.220001,-0.23255
459,1966-03-01,89.230003,0.27585
460,1966-04-01,91.059998,-0.48723
461,1966-05-01,86.129997,-0.17736
462,1966-06-01,84.739998,-0.15001
463,1966-07-01,83.599998,-0.62140
464,1966-08-01,77.099998,-0.08088
465,1966-09-01,76.559998,0.74610
466,1966-10-01,80.199997,0.03805
467,1966-11-01,80.449997,-0.01775
468,1966-12-01,80.33000200000001,1.46765
469,1967-01-01,86.610001,0.02381
470,1967-02-01,86.779999,0.59017
471,1967-03-01,90.199997,0.64290
472,1967-04-01,94.010002,-0.47607
473,1967-05-01,89.08000200000001,0.23162
474,1967-06-01,90.639999,0.70260
475,1967-07-01,94.75,-0.13187
476,1967-08-01,93.639999,0.47272
477,1967-09-01,96.709999,-0.34999
478,1967-10-01,93.300003,0.09384
479,1967-11-01,94.0,0.36513
480,1967-12-01,96.470001,-0.41612
481,1968-01-01,92.239998,-0.31658
482,1968-02-01,89.360001,0.11882
483,1968-03-01,90.199997,1.53185
484,1968-04-01,97.459999,0.16100
485,1968-05-01,98.68,0.11511
486,1968-06-01,99.58000200000001,-0.20053
487,1968-07-01,97.739998,0.14651
488,1968-08-01,98.860001,0.57426
489,1968-09-01,102.66999799999999,0.09000
490,1968-10-01,103.410004,0.75452
491,1968-11-01,108.370003,-0.39956
492,1968-12-01,103.860001,-0.09391
493,1969-01-01,103.010002,-0.44144
494,1969-02-01,98.129997,0.50136
495,1969-03-01,101.510002,0.29044
496,1969-04-01,103.690002,-0.02630
497,1969-05-01,103.459999,-0.49650
498,1969-06-01,97.709999,-0.52516
499,1969-07-01,91.83000200000001,0.60240
500,1969-08-01,95.510002,-0.26222
501,1969-09-01,93.120003,0.65649
502,1969-10-01,97.120003,-0.34039
503,1969-11-01,93.809998,-0.20226
504,1969-12-01,92.059998,-0.61505
505,1970-01-01,85.019997,0.85193
506,1970-02-01,89.5,0.01757
507,1970-03-01,89.629997,-0.67957
508,1970-04-01,81.519997,-0.52992
509,1970-05-01,76.550003,-0.45986
510,1970-06-01,72.720001,1.33684
511,1970-07-01,78.050003,0.68537
512,1970-08-01,81.519997,0.49541
513,1970-09-01,84.300003,-0.13964
514,1970-10-01,83.25,0.74416
515,1970-11-01,87.199997,0.93975
516,1970-12-01,92.150002,0.60987
517,1971-01-01,95.879997,0.11449
518,1971-02-01,96.75,0.54283
519,1971-03-01,100.309998,0.53378
520,1971-04-01,103.949997,-0.39912
521,1971-05-01,99.629997,-0.10644
522,1971-06-01,98.699997,-0.31986
523,1971-07-01,95.58000200000001,0.53037
524,1971-08-01,99.029999,-0.08048
525,1971-09-01,98.339996,-0.40089
526,1971-10-01,94.230003,-0.03014
527,1971-11-01,93.989998,1.69661
528,1971-12-01,102.089996,0.24049
529,1972-01-01,103.940002,0.34967
530,1972-02-01,106.57,0.07329
531,1972-03-01,107.199997,0.05390
532,1972-04-01,107.66999799999999,0.22818
533,1972-05-01,109.529999,-0.23260
534,1972-06-01,107.139999,0.02836
535,1972-07-01,107.389999,0.50153
536,1972-08-01,111.089996,-0.05680
537,1972-09-01,110.550003,0.11772
538,1972-10-01,111.58000200000001,0.70795
539,1972-11-01,116.66999799999999,0.15155
540,1972-12-01,118.050003,-0.18707
541,1973-01-01,116.029999,-0.36779
542,1973-02-01,111.68,-0.01706
543,1973-03-01,111.519997,-0.39339
544,1973-04-01,106.970001,-0.20449
545,1973-05-01,104.949997,-0.07610
546,1973-06-01,104.260002,0.56415
547,1973-07-01,108.220001,-0.36141
548,1973-08-01,104.25,0.60281
549,1973-09-01,108.43,-0.01538
550,1973-10-01,108.290001,-0.76556
551,1973-11-01,95.959999,0.21799
552,1973-12-01,97.550003,-0.11411
553,1974-01-01,96.57,-0.04264
554,1974-02-01,96.220001,-0.24623
555,1974-03-01,93.980003,-0.37998
556,1974-04-01,90.309998,-0.33603
557,1974-05-01,87.279999,-0.16246
558,1974-06-01,86.0,-0.62160
559,1974-07-01,79.309998,-0.67871
560,1974-08-01,72.150002,-0.78236
561,1974-09-01,63.540001000000004,5.12586
562,1974-10-01,73.900002,-0.48095
563,1974-11-01,69.970001,-0.21674
564,1974-12-01,68.559998,3.01500
565,1975-01-01,76.980003,1.00959
566,1975-02-01,81.589996,0.29375
567,1975-03-01,83.360001,0.74052
568,1975-04-01,87.300003,0.67845
569,1975-05-01,91.150002,0.68274
570,1975-06-01,95.190002,-0.56856
571,1975-07-01,88.75,-0.22551
572,1975-08-01,86.879997,-0.34500
573,1975-09-01,83.870003,1.04994
574,1975-10-01,89.040001,0.34030
575,1975-11-01,91.239998,-0.12968
576,1975-12-01,90.190002,2.82584
577,1976-01-01,100.860001,-0.12856
578,1976-02-01,99.709999,0.43725
579,1976-03-01,102.769997,-0.12425
580,1976-04-01,101.639999,-0.15939
581,1976-05-01,100.18,0.61823
582,1976-06-01,104.279999,-0.09249
583,1976-07-01,103.440002,-0.05978
584,1976-08-01,102.910004,0.30821
585,1976-09-01,105.239998,-0.23649
586,1976-10-01,102.900002,-0.08941
587,1976-11-01,102.099998,0.84779
588,1976-12-01,107.459999,-0.46325
589,1977-01-01,102.029999,-0.23109
590,1977-02-01,99.82,-0.15591
591,1977-03-01,98.41999799999999,0.00244
592,1977-04-01,98.440002,-0.24889
593,1977-05-01,96.120003,0.70290
594,1977-06-01,100.480003,-0.17820
595,1977-07-01,98.849998,-0.22524
596,1977-08-01,96.769997,-0.02936
597,1977-09-01,96.529999,-0.41287
598,1977-10-01,92.339996,0.37617
599,1977-11-01,94.83000200000001,0.03471
600,1977-12-01,95.099998,-0.53320
601,1978-01-01,89.25,-0.25984
602,1978-02-01,87.040001,0.34380
603,1978-03-01,89.209999,1.67397
604,1978-04-01,96.83000200000001,0.05201
605,1978-05-01,97.239998,-0.19176
606,1978-06-01,95.529999,0.87776
607,1978-07-01,100.68,0.35951
608,1978-08-01,103.290001,-0.08374
609,1978-09-01,102.540001,-0.68415
610,1978-10-01,93.150002,0.21900
611,1978-11-01,94.699997,0.19405
612,1978-12-01,96.110001,0.59635
613,1979-01-01,99.93,-0.36014
614,1979-02-01,96.279999,0.90449
