Date,MPC
2014-08-12,43.285
2014-08-13,43.715
2014-08-14,44.455002
2014-08-15,44.540001000000004
2014-08-18,45.044998
2014-08-19,45.799999
2014-08-20,45.650002
2014-08-21,45.029999
2014-08-22,45.215
2014-08-25,45.294998
2014-08-26,45.215
2014-08-27,45.095001
2014-08-28,45.389998999999996
2014-08-29,45.505001
2014-09-02,44.755001
2014-09-03,45.209998999999996
2014-09-04,45.485001000000004
2014-09-05,45.814999
2014-09-08,46.195
2014-09-09,45.860001000000004
2014-09-10,45.215
2014-09-11,44.450001
2014-09-12,43.43
2014-09-15,44.264998999999996
2014-09-16,44.09
2014-09-17,44.095001
2014-09-18,43.665001000000004
2014-09-19,44.32
2014-09-22,43.040001000000004
2014-09-23,42.349998
2014-09-24,42.244999
2014-09-25,42.139998999999996
2014-09-26,42.505001
2014-09-29,42.195
2014-09-30,42.334998999999996
2014-10-01,41.220001
2014-10-02,40.474998
2014-10-03,40.41
2014-10-06,40.439999
2014-10-07,40.41
2014-10-08,42.130001
2014-10-09,40.900002
2014-10-10,40.794998
2014-10-13,39.91
2014-10-14,39.215
2014-10-15,38.134997999999996
2014-10-16,39.224998
2014-10-17,39.625
2014-10-20,40.32
2014-10-21,42.474998
2014-10-22,41.785
2014-10-23,42.264998999999996
2014-10-24,42.895
2014-10-27,43.209998999999996
2014-10-28,44.560001
2014-10-29,43.705002
2014-10-30,45.325001
2014-10-31,45.450001
2014-11-03,45.810001
2014-11-04,45.314999
2014-11-05,45.355
2014-11-06,46.564999
2014-11-07,47.040001000000004
2014-11-10,47.049999
2014-11-11,47.314999
2014-11-12,47.505001
2014-11-13,46.775002
2014-11-14,46.189999
2014-11-17,46.255001
2014-11-18,46.939999
2014-11-19,46.900002
2014-11-20,47.580002
2014-11-21,48.459998999999996
2014-11-24,48.060001
2014-11-25,47.619999
2014-11-26,47.834998999999996
2014-11-28,45.044998
2014-12-01,45.395
2014-12-02,47.07
2014-12-03,48.009997999999996
2014-12-04,48.334998999999996
2014-12-05,46.075001
2014-12-08,44.360001000000004
2014-12-09,44.380001
2014-12-10,42.529999
2014-12-11,41.939999
2014-12-12,41.599998
2014-12-15,40.685001
2014-12-16,41.099998
2014-12-17,42.365002000000004
2014-12-18,42.014998999999996
2014-12-19,43.599998
2014-12-22,43.645
2014-12-23,44.189999
2014-12-24,44.310001
2014-12-26,44.860001000000004
2014-12-29,45.529999
2014-12-30,45.32
2014-12-31,45.130001
2015-01-02,45.82
2015-01-05,44.544998
2015-01-06,44.105
2015-01-07,44.470001
2015-01-08,45.514998999999996
2015-01-09,44.244999
2015-01-12,42.709998999999996
2015-01-13,40.43
2015-01-14,38.814999
2015-01-15,38.424999
2015-01-16,38.779999
2015-01-20,40.209998999999996
2015-01-21,40.474998
2015-01-22,41.985001000000004
2015-01-23,43.580002
2015-01-26,44.095001
2015-01-27,44.34
2015-01-28,44.645
2015-01-29,45.005001
2015-01-30,46.294998
2015-02-02,46.970001
2015-02-03,47.91
2015-02-04,48.095001
2015-02-05,48.650002
2015-02-06,49.439999
2015-02-09,50.084998999999996
2015-02-10,51.09
2015-02-11,50.459998999999996
2015-02-12,50.700001
2015-02-13,51.740002000000004
2015-02-17,51.91
2015-02-18,52.314999
2015-02-19,52.825001
2015-02-20,52.785
2015-02-23,53.174999
2015-02-24,52.59
2015-02-25,52.330002
2015-02-26,53.52
2015-02-27,52.5
2015-03-02,50.889998999999996
2015-03-03,51.384997999999996
2015-03-04,51.005001
2015-03-05,50.875
2015-03-06,49.244999
2015-03-09,49.884997999999996
2015-03-10,48.060001
2015-03-11,48.435001
2015-03-12,47.834998999999996
2015-03-13,48.099998
2015-03-16,49.029999
2015-03-17,48.869999
2015-03-18,50.505001
2015-03-19,50.029999
2015-03-20,51.130001
2015-03-23,51.209998999999996
2015-03-24,50.849998
2015-03-25,51.540001000000004
2015-03-26,50.439999
2015-03-27,49.825001
2015-03-30,51.450001
2015-03-31,51.195
2015-04-01,50.880001
2015-04-02,48.540001000000004
2015-04-06,49.27
2015-04-07,49.119999
2015-04-08,49.32
2015-04-09,49.93
2015-04-10,50.209998999999996
2015-04-13,48.605
2015-04-14,49.02
2015-04-15,49.014998999999996
2015-04-16,50.0
2015-04-17,49.360001000000004
2015-04-20,49.665001000000004
2015-04-21,50.005001
2015-04-22,51.064999
2015-04-23,50.845001
2015-04-24,51.575001
2015-04-27,51.470001
2015-04-28,51.255001
2015-04-29,51.264998999999996
2015-04-30,49.285
2015-05-01,51.330002
2015-05-04,50.625
2015-05-05,50.915001000000004
2015-05-06,50.509997999999996
2015-05-07,51.345001
2015-05-08,52.439999
2015-05-11,51.139998999999996
2015-05-12,50.665001000000004
2015-05-13,51.139998999999996
2015-05-14,52.355
2015-05-15,51.724998
2015-05-18,52.134997999999996
2015-05-19,52.130001
2015-05-20,52.165001000000004
2015-05-21,51.830002
2015-05-22,51.540001000000004
2015-05-26,50.220001
2015-05-27,50.48
2015-05-28,51.384997999999996
2015-05-29,51.73
2015-06-01,51.775002
2015-06-02,51.514998999999996
2015-06-03,51.099998
2015-06-04,50.165001000000004
2015-06-05,50.459998999999996
2015-06-08,50.23
2015-06-09,49.665001000000004
2015-06-10,50.895
2015-06-11,52.029999
2015-06-12,51.029999
2015-06-15,51.060001
2015-06-16,51.189999
2015-06-17,51.299999
2015-06-18,51.939999
2015-06-19,51.900002
2015-06-22,51.889998999999996
2015-06-23,52.189999
2015-06-24,51.68
2015-06-25,51.439999
2015-06-26,51.970001
2015-06-29,50.849998
2015-06-30,52.310001
2015-07-01,53.77
2015-07-02,54.009997999999996
2015-07-06,54.759997999999996
2015-07-07,55.540001000000004
2015-07-08,53.970001
2015-07-09,53.380001
2015-07-10,54.490002000000004
2015-07-13,58.779999
2015-07-14,58.790001000000004
2015-07-15,57.509997999999996
2015-07-16,58.48
2015-07-17,58.580002
2015-07-20,57.529999
2015-07-21,57.150002
2015-07-22,57.07
2015-07-23,56.330002
2015-07-24,56.32
2015-07-27,54.459998999999996
2015-07-28,54.509997999999996
2015-07-29,55.810001
2015-07-30,53.939999
2015-07-31,54.669998
2015-08-03,53.200001
2015-08-04,52.189999
2015-08-05,51.68
2015-08-06,52.150002
2015-08-07,51.169998
2015-08-10,53.259997999999996
2015-08-11,55.860001000000004
2015-08-12,57.799999
2015-08-13,56.990002000000004
2015-08-14,55.66
2015-08-17,55.869999
2015-08-18,55.48
2015-08-19,54.5
2015-08-20,53.290001000000004
2015-08-21,48.380001
2015-08-24,45.82
2015-08-25,43.77
2015-08-26,45.52
2015-08-27,46.669998
2015-08-28,47.220001
2015-08-31,47.310001
2015-09-01,46.060001
2015-09-02,46.810001
2015-09-03,46.98
2015-09-04,46.34
2015-09-08,47.720001
2015-09-09,47.450001
2015-09-10,48.16
2015-09-11,47.869999
2015-09-14,46.52
2015-09-15,47.25
2015-09-16,46.669998
2015-09-17,46.830002
2015-09-18,46.09
2015-09-21,46.169998
2015-09-22,45.939999
2015-09-23,46.259997999999996
2015-09-24,46.669998
2015-09-25,47.330002
2015-09-28,45.029999
2015-09-29,45.540001000000004
2015-09-30,46.330002
2015-10-01,47.93
2015-10-02,48.389998999999996
2015-10-05,50.580002
2015-10-06,50.040001000000004
2015-10-07,50.290001000000004
2015-10-08,51.080002
2015-10-09,49.639998999999996
2015-10-12,49.77
2015-10-13,48.779999
2015-10-14,48.59
2015-10-15,50.099998
2015-10-16,51.130001
2015-10-19,49.060001
2015-10-20,47.34
2015-10-21,46.779999
2015-10-22,47.650002
2015-10-23,48.59
2015-10-26,48.720001
2015-10-27,48.98
2015-10-28,49.84
2015-10-29,51.240002000000004
2015-10-30,51.799999
2015-11-02,52.919998
2015-11-03,54.630001
2015-11-04,54.799999
2015-11-05,55.650002
2015-11-06,55.970001
2015-11-09,54.32
2015-11-10,54.77
2015-11-11,54.849998
2015-11-12,54.709998999999996
2015-11-13,53.68
2015-11-16,53.77
2015-11-17,54.259997999999996
2015-11-18,55.68
2015-11-19,55.810001
2015-11-20,55.93
2015-11-23,56.41
2015-11-24,57.189999
2015-11-25,58.049999
2015-11-27,58.57
2015-11-30,58.41
2015-12-01,59.34
2015-12-02,58.009997999999996
2015-12-03,54.439999
2015-12-04,55.630001
2015-12-07,53.689999
2015-12-08,52.73
2015-12-09,51.98
2015-12-10,52.349998
2015-12-11,49.619999
2015-12-14,47.990002000000004
2015-12-15,49.16
2015-12-16,49.700001
2015-12-17,51.32
2015-12-18,50.349998
2015-12-21,51.400002
2015-12-22,51.599998
2015-12-23,52.709998999999996
2015-12-24,52.639998999999996
2015-12-28,51.599998
2015-12-29,52.16
2015-12-30,52.299999
2015-12-31,51.84
