Date,VRSN
2002-01-03,37.34
2002-01-04,36.310001
2002-01-07,34.049999
2002-01-08,36.049999
2002-01-09,34.869999
2002-01-10,37.459998999999996
2002-01-11,36.209998999999996
2002-01-14,35.09
2002-01-15,35.689999
2002-01-16,33.279999
2002-01-17,35.25
2002-01-18,33.950001
2002-01-22,34.189999
2002-01-23,36.709998999999996
2002-01-24,36.25
2002-01-25,34.669998
2002-01-28,33.290001000000004
2002-01-29,32.09
2002-01-30,31.76
2002-01-31,30.860001
2002-02-01,31.0
2002-02-04,28.9
2002-02-05,26.450001
2002-02-06,23.93
2002-02-07,24.1
2002-02-08,27.059998999999998
2002-02-11,25.68
2002-02-12,26.309998999999998
2002-02-13,25.51
2002-02-14,25.610001
2002-02-15,25.0
2002-02-19,23.530001000000002
2002-02-20,24.49
2002-02-21,22.709999
2002-02-22,23.5
2002-02-25,24.440001000000002
2002-02-26,24.559998999999998
2002-02-27,25.26
2002-02-28,23.73
2002-03-01,26.860001
2002-03-04,29.01
2002-03-05,29.34
2002-03-06,28.65
2002-03-07,27.93
2002-03-08,31.5
2002-03-11,32.509997999999996
2002-03-12,30.02
2002-03-13,29.51
2002-03-14,30.48
2002-03-15,30.360001
2002-03-18,29.92
2002-03-19,29.129998999999998
2002-03-20,26.42
2002-03-21,28.02
2002-03-22,27.67
2002-03-25,26.48
2002-03-26,25.889999
2002-03-27,26.48
2002-03-28,27.0
2002-04-01,27.0
2002-04-02,25.25
2002-04-03,25.77
2002-04-04,24.200001
2002-04-05,24.35
2002-04-08,24.950001
2002-04-09,24.030001000000002
2002-04-10,23.74
2002-04-11,24.030001000000002
2002-04-12,25.32
2002-04-15,25.9
2002-04-16,26.450001
2002-04-17,26.110001
2002-04-18,24.84
2002-04-19,24.530001000000002
2002-04-22,22.49
2002-04-23,21.58
2002-04-24,18.0
2002-04-25,18.24
2002-04-26,9.89
2002-04-29,8.07
2002-04-30,9.25
2002-05-01,9.04
2002-05-02,8.41
2002-05-03,8.75
2002-05-06,8.42
2002-05-07,8.88
2002-05-08,10.25
2002-05-09,9.85
2002-05-10,10.0
2002-05-13,10.01
2002-05-14,10.55
2002-05-15,11.01
2002-05-16,10.94
2002-05-17,11.31
2002-05-20,11.33
2002-05-21,9.97
2002-05-22,10.06
2002-05-23,10.5
2002-05-24,10.08
2002-05-28,10.02
2002-05-29,10.06
2002-05-30,10.01
2002-05-31,9.68
2002-06-03,9.27
2002-06-04,9.67
2002-06-05,9.45
2002-06-06,9.48
2002-06-07,9.15
2002-06-10,9.21
2002-06-11,9.25
2002-06-12,9.22
2002-06-13,9.12
2002-06-14,9.08
2002-06-17,9.37
2002-06-18,9.18
2002-06-19,9.01
2002-06-20,8.55
2002-06-21,7.8
2002-06-24,8.35
2002-06-25,7.65
2002-06-26,7.4
2002-06-27,7.38
2002-06-28,7.19
2002-07-01,6.92
2002-07-02,5.83
2002-07-03,5.75
2002-07-05,6.14
2002-07-08,5.76
2002-07-09,4.83
2002-07-10,4.99
2002-07-11,5.94
2002-07-12,6.04
2002-07-15,6.67
2002-07-16,7.36
2002-07-17,7.21
2002-07-18,7.3
2002-07-19,6.76
2002-07-22,5.87
2002-07-23,5.55
2002-07-24,5.87
2002-07-25,5.25
2002-07-26,6.7
2002-07-29,6.54
2002-07-30,6.48
2002-07-31,6.4
2002-08-01,6.14
2002-08-02,5.94
2002-08-05,5.61
2002-08-06,6.38
2002-08-07,5.74
2002-08-08,5.97
2002-08-09,5.64
2002-08-12,5.73
2002-08-13,5.09
2002-08-14,5.77
2002-08-15,6.06
2002-08-16,6.09
2002-08-19,6.75
2002-08-20,6.4
2002-08-21,7.48
2002-08-22,8.79
2002-08-23,8.08
2002-08-26,8.1
2002-08-27,7.59
2002-08-28,7.1
2002-08-29,7.3
2002-08-30,7.18
2002-09-03,6.53
2002-09-04,7.1
2002-09-05,6.92
2002-09-06,7.19
2002-09-09,7.3
2002-09-10,7.48
2002-09-11,7.67
2002-09-12,7.36
2002-09-13,7.57
2002-09-16,7.22
2002-09-17,6.82
2002-09-18,6.92
2002-09-19,6.29
2002-09-20,6.37
2002-09-23,6.01
2002-09-24,6.05
2002-09-25,6.04
2002-09-26,5.77
2002-09-27,5.56
2002-09-30,5.05
2002-10-01,5.2
2002-10-02,4.84
2002-10-03,4.91
2002-10-04,4.55
2002-10-07,4.31
2002-10-08,4.13
2002-10-09,4.29
2002-10-10,4.63
2002-10-11,5.35
2002-10-14,5.22
2002-10-15,6.18
2002-10-16,6.36
2002-10-17,6.74
2002-10-18,6.76
2002-10-21,6.91
2002-10-22,7.03
2002-10-23,7.42
2002-10-24,7.41
2002-10-25,8.13
2002-10-28,8.11
2002-10-29,7.95
2002-10-30,8.0
2002-10-31,8.05
2002-11-01,8.26
